id,selection_reasons,problem_type,question_length,answer_sign,answer_magnitude
train-011100,zero_answer,arithmetic_word_problem,282,zero,d1
train-011205,large_integer_answer,number_theory,147,positive,d6_plus
train-011490,large_integer_answer,arithmetic_word_problem,75,positive,d6_plus
train-011534,zero_answer,algebra,145,zero,d1
train-011538,large_integer_answer,arithmetic_word_problem,244,positive,d6_plus
train-011548,large_integer_answer,arithmetic_word_problem,227,positive,d6_plus
train-011609,large_integer_answer,algebra,204,positive,d6_plus
train-011709,zero_answer,arithmetic_word_problem,94,zero,d1
train-011840,zero_answer,number_theory,108,zero,d1
train-011863,multiple_numbers_in_question,geometry,131,positive,d1
train-011956,negative_answer,geometry,281,negative,d1
train-011992,zero_answer,geometry,217,zero,d1
train-012096,negative_answer,arithmetic_word_problem,433,negative,d2
train-012171,zero_answer,algebra,135,zero,d1
train-012197,multiple_numbers_in_question,geometry,86,positive,d2
train-012214,negative_answer,arithmetic_word_problem,131,negative,d2
train-012311,multiple_numbers_in_question,geometry,209,positive,d3
train-012336,multiple_numbers_in_question,geometry,252,positive,d2
train-012421,negative_answer,algebra,122,negative,d1
train-012483,zero_answer,arithmetic_word_problem,83,zero,d1
train-012535,multiple_numbers_in_question,combinatorics_probability,335,positive,d2
train-012592,multiple_numbers_in_question,arithmetic_word_problem,331,positive,d3
train-012653,zero_answer,algebra,103,zero,d1
train-012732,multiple_numbers_in_question,geometry,276,positive,d1
train-012756,multiple_numbers_in_question,arithmetic_word_problem,407,positive,d3
train-012836,negative_answer,algebra,114,negative,d3
train-012978,large_integer_answer,combinatorics_probability,448,positive,d6_plus
train-012989,zero_answer,arithmetic_word_problem,90,zero,d1
train-013079,large_integer_answer,arithmetic_word_problem,166,positive,d6_plus
train-013221,zero_answer,arithmetic_word_problem,148,zero,d1
train-013225,negative_answer,algebra,92,negative,d1
train-013237,large_integer_answer,arithmetic_word_problem,139,positive,d6_plus
train-013307,multiple_numbers_in_question,geometry,447,positive,d4_5
train-013416,zero_answer,arithmetic_word_problem,114,zero,d1
train-013435,negative_answer,algebra,106,negative,d1
train-013510,negative_answer,arithmetic_word_problem,282,negative,d2
train-013529,zero_answer,geometry,285,zero,d1
train-013530,large_integer_answer,arithmetic_word_problem,36,positive,d6_plus
train-013635,zero_answer,arithmetic_word_problem,184,zero,d1
train-013652,negative_answer,arithmetic_word_problem,138,negative,d1
train-013658,zero_answer,algebra,197,zero,d1
train-013700,large_integer_answer,number_theory,321,positive,d6_plus
train-013839,negative_answer,arithmetic_word_problem,61,negative,d2
train-013863,zero_answer,algebra,132,zero,d1
train-013872,zero_answer,number_theory,216,zero,d1
train-013881,negative_answer,arithmetic_word_problem,192,negative,d2
train-013904,zero_answer,number_theory,114,zero,d1
train-013927,multiple_numbers_in_question,arithmetic_word_problem,240,positive,d3
train-014005,negative_answer,algebra,157,negative,d2
train-014037,zero_answer,geometry,285,zero,d1
train-014097,large_integer_answer,combinatorics_probability,108,positive,d6_plus
train-014098,multiple_numbers_in_question,arithmetic_word_problem,281,positive,d3
train-014168,negative_answer,algebra,127,negative,d1
train-014177,large_integer_answer,combinatorics_probability,154,positive,d6_plus
train-014255,negative_answer,arithmetic_word_problem,100,negative,d1
train-014304,zero_answer,combinatorics_probability,288,zero,d1
train-014357,zero_answer,algebra,1238,zero,d1
train-014440,negative_answer,arithmetic_word_problem,91,negative,d1
train-014495,negative_answer,algebra,101,negative,d1
train-014500,multiple_numbers_in_question,arithmetic_word_problem,230,positive,d2
train-014546,multiple_numbers_in_question,combinatorics_probability,612,positive,d1
train-014617,multiple_numbers_in_question,arithmetic_word_problem,260,positive,d1
train-014623,zero_answer,algebra,80,zero,d1
train-014642,zero_answer,arithmetic_word_problem,114,zero,d1
train-014670,large_integer_answer,arithmetic_word_problem,290,positive,d6_plus
train-014716,negative_answer,algebra,162,negative,d1
train-014771,negative_answer,algebra,105,negative,d2
train-014788,zero_answer,arithmetic_word_problem,65,zero,d1
train-014791,negative_answer,geometry,348,negative,d2
train-014954,negative_answer,arithmetic_word_problem,180,negative,d1
train-015123,multiple_numbers_in_question,arithmetic_word_problem,271,positive,d4_5
train-015161,large_integer_answer,combinatorics_probability,328,positive,d6_plus
train-015189,negative_answer,algebra,64,negative,d1
train-015235,large_integer_answer,number_theory,422,positive,d6_plus
train-015315,multiple_numbers_in_question,arithmetic_word_problem,420,positive,d2
train-015336,negative_answer,algebra,109,negative,d1
train-015357,negative_answer,algebra,91,negative,d2
train-015416,multiple_numbers_in_question,arithmetic_word_problem,113,positive,d3
train-015429,large_integer_answer,arithmetic_word_problem,100,positive,d6_plus
train-015434,zero_answer,combinatorics_probability,74,zero,d1
train-015517,negative_answer,arithmetic_word_problem,197,negative,d1
train-015531,large_integer_answer,arithmetic_word_problem,167,positive,d6_plus
train-015552,large_integer_answer,geometry,286,positive,d6_plus
train-015594,large_integer_answer,algebra,366,positive,d6_plus
train-015741,zero_answer,combinatorics_probability,329,zero,d1
train-015829,large_integer_answer,algebra,131,positive,d6_plus
train-016138,negative_answer,arithmetic_word_problem,43,negative,d3
train-016264,negative_answer,geometry,190,negative,d1
train-016324,large_integer_answer,arithmetic_word_problem,326,positive,d6_plus
train-016353,negative_answer,algebra,125,negative,d1
train-016468,large_integer_answer,arithmetic_word_problem,501,positive,d6_plus
train-016473,multiple_numbers_in_question,number_theory,107,positive,d2
train-016600,large_integer_answer,geometry,296,positive,d6_plus
train-016616,multiple_numbers_in_question,arithmetic_word_problem,256,positive,d2
train-016652,multiple_numbers_in_question,geometry,426,positive,d2
train-016653,large_integer_answer,arithmetic_word_problem,78,positive,d6_plus
train-016738,multiple_numbers_in_question,arithmetic_word_problem,429,positive,d3
train-016761,multiple_numbers_in_question,geometry,457,positive,d4_5
train-016762,multiple_numbers_in_question,arithmetic_word_problem,191,positive,d3
train-016788,multiple_numbers_in_question,arithmetic_word_problem,410,positive,d3
train-016854,multiple_numbers_in_question,algebra,105,negative,d1
train-016855,multiple_numbers_in_question,algebra,477,zero,d1
train-016870,multiple_numbers_in_question,algebra,90,positive,d1
train-016928,multiple_numbers_in_question,arithmetic_word_problem,366,positive,d2
train-016940,large_integer_answer,arithmetic_word_problem,174,positive,d6_plus
train-016996,large_integer_answer,arithmetic_word_problem,161,positive,d6_plus
