id,split,stratum,problem_type,question_length,answer_sign,answer_magnitude
train-000157,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,237,positive,d3
train-000158,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,207,positive,d2
train-000159,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,264,positive,d2
train-000160,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,85,positive,d1
train-000161,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,256,positive,d2
train-000162,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,230,positive,d1
train-000163,train,gt512|positive|d3|combinatorics_probability,combinatorics_probability,638,positive,d3
train-000164,validation,257_512|positive|d3|geometry,geometry,479,positive,d3
train-000165,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,140,positive,d1
train-000166,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,172,positive,d2
train-000167,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,136,positive,d4_5
train-000168,train,le128|positive|d2|number_theory,number_theory,80,positive,d2
train-000169,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,210,positive,d2
train-000170,train,129_256|positive|d4_5|geometry,geometry,149,positive,d4_5
train-000171,train,257_512|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,279,positive,d4_5
train-000172,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,146,positive,d3
train-000173,train,129_256|positive|d6_plus|number_theory,number_theory,144,positive,d6_plus
train-000174,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,54,positive,d1
train-000175,train,le128|positive|d3|arithmetic_word_problem,arithmetic_word_problem,100,positive,d3
train-000176,train,129_256|zero|d1|arithmetic_word_problem,arithmetic_word_problem,173,zero,d1
train-000177,validation,257_512|positive|d1|algebra,algebra,313,positive,d1
train-000178,validation,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,146,positive,d2
train-000179,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,105,positive,d1
train-000180,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,210,positive,d2
train-000181,train,257_512|positive|d3|algebra,algebra,307,positive,d3
train-000182,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,333,positive,d1
train-000183,train,257_512|positive|d2|number_theory,number_theory,404,positive,d2
train-000184,train,le128|positive|d3|geometry,geometry,46,positive,d3
train-000185,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,436,positive,d2
train-000186,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,278,positive,d2
train-000187,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,67,positive,d1
train-000188,validation,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,55,positive,d1
train-000190,train,257_512|positive|d1|combinatorics_probability,combinatorics_probability,293,positive,d1
train-000191,train,le128|positive|d1|algebra,algebra,88,positive,d1
train-000192,train,257_512|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,432,positive,d4_5
train-000193,train,le128|positive|d3|arithmetic_word_problem,arithmetic_word_problem,65,positive,d3
train-000194,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,287,positive,d1
train-000195,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,145,positive,d2
train-000196,validation,257_512|positive|d1|algebra,algebra,439,positive,d1
train-000197,train,129_256|positive|d4_5|geometry,geometry,238,positive,d4_5
train-000198,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,156,positive,d3
train-000199,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,200,positive,d2
train-000200,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,106,positive,d1
train-000201,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,161,positive,d4_5
train-000202,train,129_256|positive|d3|number_theory,number_theory,207,positive,d3
train-000203,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,230,positive,d1
train-000204,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,243,positive,d3
train-000205,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,230,positive,d2
train-000206,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,182,positive,d2
train-000207,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,68,positive,d1
train-000208,train,le128|positive|d3|arithmetic_word_problem,arithmetic_word_problem,105,positive,d3
train-000209,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,221,positive,d4_5
train-000210,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,183,positive,d1
train-000211,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,237,positive,d3
train-000212,train,129_256|negative|d1|algebra,algebra,172,negative,d1
train-000213,validation,257_512|positive|d2|number_theory,number_theory,288,positive,d2
train-000215,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,298,positive,d3
train-000216,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,313,positive,d2
train-000217,train,129_256|positive|d3|geometry,geometry,164,positive,d3
train-000218,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,377,positive,d1
train-000219,train,257_512|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,364,positive,d4_5
train-000220,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,224,positive,d3
train-000221,train,gt512|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,563,positive,d4_5
train-000223,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,159,positive,d3
train-000224,train,257_512|positive|d2|geometry,geometry,337,positive,d2
train-000225,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,468,positive,d2
train-000226,train,129_256|positive|d1|geometry,geometry,170,positive,d1
train-000227,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,284,positive,d2
train-000228,train,129_256|positive|d3|number_theory,number_theory,131,positive,d3
train-000229,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,126,positive,d2
train-000230,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,276,positive,d2
train-000231,train,129_256|negative|d1|geometry,geometry,136,negative,d1
train-000232,train,257_512|positive|d2|algebra,algebra,481,positive,d2
train-000233,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,249,positive,d2
train-000234,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,80,positive,d1
train-000235,train,le128|positive|d3|combinatorics_probability,combinatorics_probability,93,positive,d3
train-000236,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,211,positive,d2
train-000237,validation,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,505,positive,d2
train-000238,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,129,positive,d2
train-000239,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,126,positive,d2
train-000240,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,268,positive,d2
train-000241,train,le128|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,122,positive,d4_5
train-000242,train,gt512|positive|d1|geometry,geometry,610,positive,d1
train-000243,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,180,positive,d2
train-000244,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,244,positive,d2
train-000245,train,le128|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,110,positive,d4_5
train-000246,validation,129_256|positive|d2|geometry,geometry,160,positive,d2
train-000247,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,228,positive,d3
train-000248,train,257_512|positive|d4_5|geometry,geometry,357,positive,d4_5
train-000249,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,169,positive,d3
train-000250,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,256,positive,d1
train-000251,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,144,positive,d1
train-000252,train,129_256|positive|d1|geometry,geometry,210,positive,d1
train-000253,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,388,positive,d2
train-000254,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,235,positive,d2
train-000255,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,221,positive,d3
train-000256,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,188,positive,d1
train-000257,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,194,positive,d3
train-000258,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,187,positive,d2
train-000259,train,le128|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,91,positive,d4_5
train-000260,train,gt512|positive|d2|algebra,algebra,589,positive,d2
train-000261,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,163,positive,d2
train-000262,train,gt512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,603,positive,d1
train-000263,validation,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,180,positive,d2
train-000264,validation,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,257,positive,d2
train-000265,train,129_256|positive|d2|combinatorics_probability,combinatorics_probability,246,positive,d2
train-000266,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,203,positive,d3
train-000267,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,343,positive,d1
train-000268,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,208,positive,d3
train-000269,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,256,positive,d4_5
train-000270,validation,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,291,positive,d1
train-000271,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,327,positive,d3
train-000272,train,129_256|negative|d1|algebra,algebra,132,negative,d1
train-000273,train,129_256|positive|d1|geometry,geometry,218,positive,d1
train-000274,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,180,positive,d1
train-000275,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,357,positive,d3
train-000277,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,215,positive,d4_5
train-000278,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,373,positive,d3
train-000279,train,129_256|positive|d2|geometry,geometry,238,positive,d2
train-000280,validation,le128|positive|d1|number_theory,number_theory,57,positive,d1
train-000281,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,127,positive,d2
train-000282,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,140,positive,d3
train-000283,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,220,positive,d3
train-000285,train,257_512|positive|d2|geometry,geometry,366,positive,d2
train-000286,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,59,positive,d1
train-000287,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,145,positive,d3
train-000288,train,129_256|positive|d2|geometry,geometry,201,positive,d2
train-000289,validation,129_256|positive|d1|algebra,algebra,138,positive,d1
train-000290,validation,129_256|positive|d4_5|geometry,geometry,134,positive,d4_5
train-000291,validation,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,333,positive,d3
train-000293,train,le128|positive|d1|algebra,algebra,122,positive,d1
train-000294,validation,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,301,positive,d3
train-000295,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,213,positive,d4_5
train-000296,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,196,positive,d1
train-000297,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,210,positive,d1
train-000298,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,298,positive,d2
train-000299,train,le128|positive|d3|arithmetic_word_problem,arithmetic_word_problem,38,positive,d3
train-000300,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,186,positive,d4_5
train-000301,train,257_512|positive|d3|geometry,geometry,332,positive,d3
train-000302,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,127,positive,d1
train-000303,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,171,positive,d1
train-000304,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,163,positive,d3
train-000305,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,157,positive,d1
train-000306,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,143,positive,d1
train-000307,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,269,positive,d1
train-000308,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,180,positive,d3
train-000309,train,le128|positive|d2|arithmetic_word_problem,arithmetic_word_problem,114,positive,d2
train-000310,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,211,positive,d1
train-000311,train,129_256|positive|d3|geometry,geometry,181,positive,d3
train-000313,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,157,positive,d3
train-000314,train,129_256|positive|d4_5|arithmetic_word_problem,arithmetic_word_problem,204,positive,d4_5
train-000315,train,129_256|positive|d1|arithmetic_word_problem,arithmetic_word_problem,218,positive,d1
train-000316,train,257_512|positive|d1|arithmetic_word_problem,arithmetic_word_problem,269,positive,d1
train-000317,train,257_512|positive|d1|algebra,algebra,445,positive,d1
train-000318,train,129_256|positive|d6_plus|arithmetic_word_problem,arithmetic_word_problem,226,positive,d6_plus
train-000319,train,257_512|positive|d2|arithmetic_word_problem,arithmetic_word_problem,346,positive,d2
train-000320,train,le128|positive|d1|arithmetic_word_problem,arithmetic_word_problem,107,positive,d1
train-000321,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,151,positive,d2
train-000322,train,129_256|positive|d2|arithmetic_word_problem,arithmetic_word_problem,178,positive,d2
train-000323,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,190,positive,d3
train-000324,train,257_512|positive|d3|arithmetic_word_problem,arithmetic_word_problem,368,positive,d3
train-000325,train,129_256|positive|d3|arithmetic_word_problem,arithmetic_word_problem,197,positive,d3
