source_row_index,id,decision,decision_reason,question_sha256,legacy_question_sha256,question_content_matches_legacy,legacy_filtered_membership
63,val-000063,keep,present_in_legacy_filtered_derivative,405e8cb0719fae8ca8894dc4149cdca427dfd626440c690e55189743df82f4e7,a25b86fb094519436346dedddf475b402f997a45691297a3e9dee37de76c429e,false,true
64,val-000064,keep,present_in_legacy_filtered_derivative,01ee03bd6d1b31801942b6242543cb63eaf1d41611bd3fc82cb47e1647122f9d,7abd525be0390fb59eefe79f513b871ffdeee959c8544f40b7b5cb8eba0ebd2e,false,true
65,val-000065,keep,present_in_legacy_filtered_derivative,4c7083ecc70e368a792e2b11605089ff2ea5fe2d1757b4516bd3e2de9c44d26d,4c7083ecc70e368a792e2b11605089ff2ea5fe2d1757b4516bd3e2de9c44d26d,true,true
66,val-000066,keep,present_in_legacy_filtered_derivative,656b880bf341be79d498f2d5a57eb2bdc486716a0669c3b34f0096a43f6afc26,656b880bf341be79d498f2d5a57eb2bdc486716a0669c3b34f0096a43f6afc26,true,true
67,val-000067,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,e274eda0537aaa5b7a965d22a25b6421e0ac71726e7e65b85d01a43dfaa6330f,,,false
68,val-000068,keep,present_in_legacy_filtered_derivative,ea3f2092ca860502e6bda80376270032ce0c350fc23b5ecb055fd74cc17ad4b9,ea3f2092ca860502e6bda80376270032ce0c350fc23b5ecb055fd74cc17ad4b9,true,true
69,val-000069,keep,present_in_legacy_filtered_derivative,13d03a43067f1d86db6463a526da54876be176f5a0f097980fe3beb307f38d38,13d03a43067f1d86db6463a526da54876be176f5a0f097980fe3beb307f38d38,true,true
70,val-000070,keep,present_in_legacy_filtered_derivative,44a1050a4f350269eeaf9f8d61eb37b5e1d6c77f1ce0a9e0b3819291c11c279b,44a1050a4f350269eeaf9f8d61eb37b5e1d6c77f1ce0a9e0b3819291c11c279b,true,true
71,val-000071,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,dcaea234c6238866856f1b34c9831d36d66beddfb9d233cfd1f376008cd66739,,,false
72,val-000072,keep,present_in_legacy_filtered_derivative,e23e7bb61f9b2fc78e766689475d07a75e51bf81f834c50a6ff6a8c18ce232c1,e23e7bb61f9b2fc78e766689475d07a75e51bf81f834c50a6ff6a8c18ce232c1,true,true
73,val-000073,keep,present_in_legacy_filtered_derivative,8f61f8f27493786490c3837c7c80dd68cd2e456ba582655838371c714260bdcf,8f61f8f27493786490c3837c7c80dd68cd2e456ba582655838371c714260bdcf,true,true
74,val-000074,keep,present_in_legacy_filtered_derivative,4f36cce24d4d913b20f5fad62fcde7a65375efd122b8017c718176f5f0d2633f,4f36cce24d4d913b20f5fad62fcde7a65375efd122b8017c718176f5f0d2633f,true,true
75,val-000075,keep,present_in_legacy_filtered_derivative,2ab6dc27a9539417c994404009b097a065fb58f99bbadc83ac35fd6ac994814f,2ab6dc27a9539417c994404009b097a065fb58f99bbadc83ac35fd6ac994814f,true,true
76,val-000076,keep,present_in_legacy_filtered_derivative,9941ded4c121bf37ecb1a8acb4af0ff3ce2bd04c7092f90525b44abbb7fefa21,9941ded4c121bf37ecb1a8acb4af0ff3ce2bd04c7092f90525b44abbb7fefa21,true,true
77,val-000077,keep,present_in_legacy_filtered_derivative,54fd353b40e42509153cc97c03fb5ab09a5d125298254e533c492a6c4c87812e,54fd353b40e42509153cc97c03fb5ab09a5d125298254e533c492a6c4c87812e,true,true
78,val-000078,keep,present_in_legacy_filtered_derivative,57745ff5d437b72f575895cfe03d6092e5c2761933fb2b2112bebe9a1947f9e7,57745ff5d437b72f575895cfe03d6092e5c2761933fb2b2112bebe9a1947f9e7,true,true
79,val-000079,keep,present_in_legacy_filtered_derivative,0df44ce3b1ae09cbcb77c2b700206419b732250ec4f63a56d795ecfd3cc20b94,0df44ce3b1ae09cbcb77c2b700206419b732250ec4f63a56d795ecfd3cc20b94,true,true
80,val-000080,keep,present_in_legacy_filtered_derivative,16e13cb1ddcf5706ecd8ec06c19c94bd61a3d2e9b6c7b322653ec01caac63a0b,16e13cb1ddcf5706ecd8ec06c19c94bd61a3d2e9b6c7b322653ec01caac63a0b,true,true
81,val-000081,keep,present_in_legacy_filtered_derivative,1b7a770a50d4abb9289a69c3957cb445ec7e549d7fbd6501b27b01a585e434c9,1b7a770a50d4abb9289a69c3957cb445ec7e549d7fbd6501b27b01a585e434c9,true,true
82,val-000082,keep,present_in_legacy_filtered_derivative,52a4df4d06394ef6fc4507695bff31ee9dbb0157c8dbb4fca80db4c25a7e6ab4,52a4df4d06394ef6fc4507695bff31ee9dbb0157c8dbb4fca80db4c25a7e6ab4,true,true
83,val-000083,keep,present_in_legacy_filtered_derivative,8f789b7dff7b241529da26bbda235ff2709bcda80682c3b7c39abd3939b894a3,8f789b7dff7b241529da26bbda235ff2709bcda80682c3b7c39abd3939b894a3,true,true
84,val-000084,keep,present_in_legacy_filtered_derivative,b6253b86a4bb0b5718deb6b3869c91f8fdd52bc4f7b53844b13b698d7faccfb1,b6253b86a4bb0b5718deb6b3869c91f8fdd52bc4f7b53844b13b698d7faccfb1,true,true
85,val-000085,keep,present_in_legacy_filtered_derivative,7854b2144c45011c7d41400544dc5b4bb4419a53e1d23bb006eec3f3edf426db,7854b2144c45011c7d41400544dc5b4bb4419a53e1d23bb006eec3f3edf426db,true,true
86,val-000086,keep,present_in_legacy_filtered_derivative,a85936eb42114c1e013fe44e598de648c39fe5d8dc7e8d320e5798c1bd6b97cd,7f4711b9fcde917a9fe4567744934d9e84ff746ea69a3c1b8030ad80998a363b,false,true
87,val-000087,keep,present_in_legacy_filtered_derivative,b3935695b8b05fbfa07d7f75fd43ee5f209f0973975eb009b67e547f9f18a83c,b3935695b8b05fbfa07d7f75fd43ee5f209f0973975eb009b67e547f9f18a83c,true,true
88,val-000088,keep,present_in_legacy_filtered_derivative,8d921bb20bae08d9cc071dea699a7fa358f8ceb4d5c04595b7ff7cfa4ea5e51d,8d921bb20bae08d9cc071dea699a7fa358f8ceb4d5c04595b7ff7cfa4ea5e51d,true,true
89,val-000089,keep,present_in_legacy_filtered_derivative,c2fd63bdfae667cba35aeefca1be39940e898d1ce552f74680816f7a9b943bbe,c2fd63bdfae667cba35aeefca1be39940e898d1ce552f74680816f7a9b943bbe,true,true
90,val-000090,keep,present_in_legacy_filtered_derivative,8f570e940a8ccec4eba20e7bcf966f675cb539213d64880a8192bb9882e8b4ea,8f570e940a8ccec4eba20e7bcf966f675cb539213d64880a8192bb9882e8b4ea,true,true
91,val-000091,keep,present_in_legacy_filtered_derivative,04a389ea576f8722fc089b57c143c7adb0ebb1ab21a8fe38bb353a599c1844ef,04a389ea576f8722fc089b57c143c7adb0ebb1ab21a8fe38bb353a599c1844ef,true,true
92,val-000092,keep,present_in_legacy_filtered_derivative,884a7d936631cebab476d5343b19863de030ba5333e399982c4a09ad3d0294c9,de4fb16aef263f64bcd2b2ec788e30e492a189a7bf639e4818de7c444b500d76,false,true
93,val-000093,keep,present_in_legacy_filtered_derivative,6a9f1dada517e0ce3a9aaabafa3e806c7d001f5dba00e0dc83973633951d18c6,6a9f1dada517e0ce3a9aaabafa3e806c7d001f5dba00e0dc83973633951d18c6,true,true
94,val-000094,keep,present_in_legacy_filtered_derivative,fef5fec99c85ebc394b4cadeddcb698e6ac94091716329b208daa4a0931104ac,fef5fec99c85ebc394b4cadeddcb698e6ac94091716329b208daa4a0931104ac,true,true
95,val-000095,keep,present_in_legacy_filtered_derivative,1d53bbd3bc4fbecbe83edd3313729eb9d45c2257891b7b6e9a0bbf535799693f,1d53bbd3bc4fbecbe83edd3313729eb9d45c2257891b7b6e9a0bbf535799693f,true,true
96,val-000096,keep,present_in_legacy_filtered_derivative,da08f4648cf4fc55e2c041626150f82c49aaa468f3b4f2ed8527b54af1886781,da08f4648cf4fc55e2c041626150f82c49aaa468f3b4f2ed8527b54af1886781,true,true
97,val-000097,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,775deff038113048d134a2b10c81bc28ac782265ab43bf782c1085316057d02a,,,false
98,val-000098,keep,present_in_legacy_filtered_derivative,8aa3cd6b2af08f5d60b376f5b9ff6361a55eb47f0c02c3fff07c4c43e5445854,8aa3cd6b2af08f5d60b376f5b9ff6361a55eb47f0c02c3fff07c4c43e5445854,true,true
99,val-000099,keep,present_in_legacy_filtered_derivative,0e715e21fc64eb8f1c2848e5c828c69d71fd947f7a11e6bac24ca58dc8aa565a,0e715e21fc64eb8f1c2848e5c828c69d71fd947f7a11e6bac24ca58dc8aa565a,true,true
100,val-000100,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,6f2cc819914c29f491b591f6b6920a58655ce9f42eb7a33126b2726f5cd5ffcd,,,false
101,val-000101,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,db2076c185a59df20afcd70c938ea05a8d5363409dc102dd3243f9be918e2022,,,false
102,val-000102,keep,present_in_legacy_filtered_derivative,055111bc3dbe6d9c6f56f3b76514ccb88d7b3b7f6cf4551820cef03f2fa0e21b,055111bc3dbe6d9c6f56f3b76514ccb88d7b3b7f6cf4551820cef03f2fa0e21b,true,true
103,val-000103,keep,present_in_legacy_filtered_derivative,c2131ae6a87ed31a0dcfe1605f1bdfd72113e34f761bda1b5a2c40de19e15bd2,c2131ae6a87ed31a0dcfe1605f1bdfd72113e34f761bda1b5a2c40de19e15bd2,true,true
104,val-000104,keep,present_in_legacy_filtered_derivative,99ffb175731abd16c9ff14d96e252532e279e7b1b73cd3a2fe34cc2bef18ded3,99ffb175731abd16c9ff14d96e252532e279e7b1b73cd3a2fe34cc2bef18ded3,true,true
105,val-000105,keep,present_in_legacy_filtered_derivative,6b980e26be76d6aca4dfe4a4fe2a87b02006d2e3d0d211589b2ded9cdc3e910c,6b980e26be76d6aca4dfe4a4fe2a87b02006d2e3d0d211589b2ded9cdc3e910c,true,true
106,val-000106,keep,present_in_legacy_filtered_derivative,4cf2a72e97eb8b3bfa4f5dece50342055a905bfe5731f08d09684b3be76d7476,4cf2a72e97eb8b3bfa4f5dece50342055a905bfe5731f08d09684b3be76d7476,true,true
107,val-000107,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,a300abbe3c652c48eed98d1d23947a8d630be72af2ccb8aa9cba83e37a907ae5,,,false
108,val-000108,keep,present_in_legacy_filtered_derivative,bbf0f8fdae1af44caa6477f0905ec8397bb1a427ea1e5ed05720438ea9b4d1dd,bbf0f8fdae1af44caa6477f0905ec8397bb1a427ea1e5ed05720438ea9b4d1dd,true,true
109,val-000109,keep,present_in_legacy_filtered_derivative,d68aaa7d01e734c49a5c75a72ec5820f8c59e12db800de7522b73745fc4f2934,d68aaa7d01e734c49a5c75a72ec5820f8c59e12db800de7522b73745fc4f2934,true,true
110,val-000110,keep,present_in_legacy_filtered_derivative,67a1a9c3707faf87ccf1452c1b9b7d6c51951e3b8efea2e80056fc2f642f346a,67a1a9c3707faf87ccf1452c1b9b7d6c51951e3b8efea2e80056fc2f642f346a,true,true
111,val-000111,keep,present_in_legacy_filtered_derivative,de065aba3a90d91f9dc072bb2a946640d54a82d7227d2f0a9365e2b89269cded,de065aba3a90d91f9dc072bb2a946640d54a82d7227d2f0a9365e2b89269cded,true,true
112,val-000112,keep,present_in_legacy_filtered_derivative,5677a5cbf13878d1ef2c7afe818175116f7246489d0293ce0d25c0325e874c20,5677a5cbf13878d1ef2c7afe818175116f7246489d0293ce0d25c0325e874c20,true,true
113,val-000113,keep,present_in_legacy_filtered_derivative,af54ce0d3fd516c623c60e78b8aecf6e07ed5720122cc26b0c6cae5b29a3975d,af54ce0d3fd516c623c60e78b8aecf6e07ed5720122cc26b0c6cae5b29a3975d,true,true
114,val-000114,keep,present_in_legacy_filtered_derivative,6a25d80aff5a36e50928ddc8ba284a677d335daea9afa0a1a5555b7eed3496ea,6a25d80aff5a36e50928ddc8ba284a677d335daea9afa0a1a5555b7eed3496ea,true,true
115,val-000115,keep,present_in_legacy_filtered_derivative,5e9d7c5809bc59633af6d2bc33d471046164baee1e9e01cdbadff3af127da46d,5e9d7c5809bc59633af6d2bc33d471046164baee1e9e01cdbadff3af127da46d,true,true
116,val-000116,keep,present_in_legacy_filtered_derivative,d67f5d00c3fe336e67de29e79e1f838f5d364becb2bb63d19b8c0e1a5455d66d,d67f5d00c3fe336e67de29e79e1f838f5d364becb2bb63d19b8c0e1a5455d66d,true,true
117,val-000117,keep,present_in_legacy_filtered_derivative,4a6fab8f110ca3b078dbf370553783aa9d3cca3664d458966b02fe226a3cb127,4a6fab8f110ca3b078dbf370553783aa9d3cca3664d458966b02fe226a3cb127,true,true
118,val-000118,keep,present_in_legacy_filtered_derivative,e1b4e49de7a0fa16abe0778c240f8e3457f35f794c19bb12d9e9fdbbe361667a,e1b4e49de7a0fa16abe0778c240f8e3457f35f794c19bb12d9e9fdbbe361667a,true,true
119,val-000119,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,847f54e2c836f59ad5c4197ce8ebef1262c77b1a7e51010820e9426e7fefeecf,,,false
120,val-000120,keep,present_in_legacy_filtered_derivative,87045b34e836d37df27e9ef93ffd87a291c32e0c183397af59f1fcdc7deb3491,87045b34e836d37df27e9ef93ffd87a291c32e0c183397af59f1fcdc7deb3491,true,true
121,val-000121,exclude,absent_from_legacy_filtered_derivative; historical semantic reason unavailable,a34869795f164e6f4d897869d50958ea6c910f49dfd238fc4e9bb54981dcc693,,,false
122,val-000122,keep,present_in_legacy_filtered_derivative,d7517da0398990ee6abca4b38a5fac4b5365793354fc6b4352cbf6258d11fa73,d7517da0398990ee6abca4b38a5fac4b5365793354fc6b4352cbf6258d11fa73,true,true
123,val-000123,keep,present_in_legacy_filtered_derivative,fb3c67c57172e701f3148d3ee7ab2bdc86c0e28a6a3ac0b390e6e3aa9495d22d,fb3c67c57172e701f3148d3ee7ab2bdc86c0e28a6a3ac0b390e6e3aa9495d22d,true,true
