custom_id,row_id,effort,variant,reusable_for_free_reanalysis,reason_codes,manifest_answer_hidden,request_body_hash_reproduced,raw_response_exists
p2_r4_audit_train-004892_a_low_e00e231f6707,train-004892,low,a,True,,True,True,True
p2_r4_audit_train-004892_a_medium_016cbcfaffd9,train-004892,medium,a,True,,True,True,True
p2_r4_audit_train-004892_b_low_e166dd4d7f92,train-004892,low,b,True,,True,True,True
p2_r4_audit_train-004892_b_medium_028c092cbe70,train-004892,medium,b,True,,True,True,True
p2_r4_audit_train-005105_a_low_e303a8ecc973,train-005105,low,a,True,,True,True,True
p2_r4_audit_train-005105_a_medium_973446b4700e,train-005105,medium,a,True,,True,True,True
p2_r4_audit_train-005105_b_low_70b68f787107,train-005105,low,b,True,,True,True,True
p2_r4_audit_train-005105_b_medium_21c5d4248517,train-005105,medium,b,True,,True,True,True
p2_r4_audit_train-005282_a_low_8b53d0a71699,train-005282,low,a,True,,True,True,True
p2_r4_audit_train-005282_a_medium_4f7964ccdb5e,train-005282,medium,a,True,,True,True,True
p2_r4_audit_train-005282_b_low_2045bf095099,train-005282,low,b,True,,True,True,True
p2_r4_audit_train-005282_b_medium_53ceed1331b3,train-005282,medium,b,True,,True,True,True
p2_r4_audit_train-005372_a_low_6b3781348121,train-005372,low,a,True,,True,True,True
p2_r4_audit_train-005372_a_medium_a05b7b944e16,train-005372,medium,a,True,,True,True,True
p2_r4_audit_train-005372_b_low_f520e6ccd169,train-005372,low,b,True,,True,True,True
p2_r4_audit_train-005372_b_medium_e27b403ffd27,train-005372,medium,b,True,,True,True,True
p2_r4_audit_train-005924_a_low_21bcafa3bb63,train-005924,low,a,True,,True,True,True
p2_r4_audit_train-005924_a_medium_19ae84400480,train-005924,medium,a,True,,True,True,True
p2_r4_audit_train-005924_b_low_ff50cde4b171,train-005924,low,b,True,,True,True,True
p2_r4_audit_train-005924_b_medium_a9c2d6a27296,train-005924,medium,b,True,,True,True,True
p2_r4_audit_train-005962_a_low_7e2a8e24f62a,train-005962,low,a,True,,True,True,True
p2_r4_audit_train-005962_a_medium_ed054324e1f6,train-005962,medium,a,True,,True,True,True
p2_r4_audit_train-005962_b_low_583f31f30b4e,train-005962,low,b,True,,True,True,True
p2_r4_audit_train-005962_b_medium_74bcccd61a3c,train-005962,medium,b,True,,True,True,True
p2_r4_audit_train-006049_a_low_776fd8930e79,train-006049,low,a,True,,True,True,True
p2_r4_audit_train-006049_a_medium_007fe52c662a,train-006049,medium,a,True,,True,True,True
p2_r4_audit_train-006049_b_low_c7977ed2e932,train-006049,low,b,True,,True,True,True
p2_r4_audit_train-006049_b_medium_8f2d260a7b10,train-006049,medium,b,True,,True,True,True
p2_r4_audit_train-006237_a_low_6f50915e9a94,train-006237,low,a,True,,True,True,True
p2_r4_audit_train-006237_a_medium_91c32928fcaf,train-006237,medium,a,True,,True,True,True
p2_r4_audit_train-006237_b_low_9a82a557c95c,train-006237,low,b,True,,True,True,True
p2_r4_audit_train-006237_b_medium_48a1c82ec7a4,train-006237,medium,b,True,,True,True,True
p2_r4_audit_train-006313_a_low_74a384bacc3d,train-006313,low,a,True,,True,True,True
p2_r4_audit_train-006313_a_medium_899a844d601b,train-006313,medium,a,True,,True,True,True
p2_r4_audit_train-006313_b_low_eb0f42b9be2f,train-006313,low,b,True,,True,True,True
p2_r4_audit_train-006313_b_medium_fbfc38bbbe24,train-006313,medium,b,True,,True,True,True
p2_r4_audit_train-006453_a_low_3700bf6f8615,train-006453,low,a,True,,True,True,True
p2_r4_audit_train-006453_a_medium_d099fd703511,train-006453,medium,a,True,,True,True,True
p2_r4_audit_train-006453_b_low_ea5f7706ec22,train-006453,low,b,True,,True,True,True
p2_r4_audit_train-006453_b_medium_1fc426e3d120,train-006453,medium,b,True,,True,True,True
p2_r4_audit_train-006714_a_low_987c6c6d47db,train-006714,low,a,True,,True,True,True
p2_r4_audit_train-006714_a_medium_283f5e0b7e76,train-006714,medium,a,True,,True,True,True
p2_r4_audit_train-006714_b_low_cdc60e098d9a,train-006714,low,b,True,,True,True,True
p2_r4_audit_train-006714_b_medium_19881552745e,train-006714,medium,b,True,,True,True,True
p2_r4_audit_train-006750_a_low_e7a3c12b0b74,train-006750,low,a,True,,True,True,True
p2_r4_audit_train-006750_a_medium_ac62af3869ca,train-006750,medium,a,True,,True,True,True
p2_r4_audit_train-006750_b_low_494a5a436687,train-006750,low,b,True,,True,True,True
p2_r4_audit_train-006750_b_medium_744aead65f9f,train-006750,medium,b,True,,True,True,True
p2_r4_audit_train-006763_a_low_79a5075e8528,train-006763,low,a,True,,True,True,True
p2_r4_audit_train-006763_a_medium_69aaf8bc4958,train-006763,medium,a,True,,True,True,True
p2_r4_audit_train-006763_b_low_82c81ada680e,train-006763,low,b,True,,True,True,True
p2_r4_audit_train-006763_b_medium_6023323332fe,train-006763,medium,b,True,,True,True,True
p2_r4_audit_train-006820_a_low_012f4d29a474,train-006820,low,a,True,,True,True,True
p2_r4_audit_train-006820_a_medium_af6d8cc80e39,train-006820,medium,a,True,,True,True,True
p2_r4_audit_train-006820_b_low_464bec9fc92b,train-006820,low,b,True,,True,True,True
p2_r4_audit_train-006820_b_medium_8a991b34da0a,train-006820,medium,b,True,,True,True,True
p2_r4_audit_train-007262_a_low_d140cd262141,train-007262,low,a,True,,True,True,True
p2_r4_audit_train-007262_a_medium_2710e3889db0,train-007262,medium,a,True,,True,True,True
p2_r4_audit_train-007262_b_low_46cb825a044e,train-007262,low,b,True,,True,True,True
p2_r4_audit_train-007262_b_medium_f4444b194a99,train-007262,medium,b,True,,True,True,True
p2_r4_audit_train-007295_a_low_2cdca838166c,train-007295,low,a,True,,True,True,True
p2_r4_audit_train-007295_a_medium_96297f04801b,train-007295,medium,a,True,,True,True,True
p2_r4_audit_train-007295_b_low_0d8936869b16,train-007295,low,b,True,,True,True,True
p2_r4_audit_train-007295_b_medium_c56c65793a10,train-007295,medium,b,True,,True,True,True
p2_r4_audit_train-007339_a_low_ee1a57abca52,train-007339,low,a,True,,True,True,True
p2_r4_audit_train-007339_a_medium_a544e69e33d8,train-007339,medium,a,True,,True,True,True
p2_r4_audit_train-007339_b_low_dc15c8e3bf16,train-007339,low,b,True,,True,True,True
p2_r4_audit_train-007339_b_medium_8d280b2f4479,train-007339,medium,b,True,,True,True,True
p2_r4_audit_train-007498_a_low_d1b310676fc8,train-007498,low,a,True,,True,True,True
p2_r4_audit_train-007498_a_medium_24ae26c6dbf9,train-007498,medium,a,True,,True,True,True
p2_r4_audit_train-007498_b_low_176a5daf1d95,train-007498,low,b,True,,True,True,True
p2_r4_audit_train-007498_b_medium_cde9b3c80ed3,train-007498,medium,b,True,,True,True,True
p2_r4_audit_train-007851_a_low_bc9afee5dc20,train-007851,low,a,True,,True,True,True
p2_r4_audit_train-007851_a_medium_ef76838290aa,train-007851,medium,a,True,,True,True,True
p2_r4_audit_train-007851_b_low_c40f4ef4e5be,train-007851,low,b,True,,True,True,True
p2_r4_audit_train-007851_b_medium_0dd685a4cbf5,train-007851,medium,b,True,,True,True,True
p2_r4_audit_train-007893_a_low_706da7fd699c,train-007893,low,a,True,,True,True,True
p2_r4_audit_train-007893_a_medium_ef7fc73a248d,train-007893,medium,a,True,,True,True,True
p2_r4_audit_train-007893_b_low_493ef92dc57a,train-007893,low,b,True,,True,True,True
p2_r4_audit_train-007893_b_medium_016124e76aa7,train-007893,medium,b,True,,True,True,True
p2_r4_audit_train-008050_a_low_02d0a6712e4c,train-008050,low,a,True,,True,True,True
p2_r4_audit_train-008050_a_medium_d543bee81db0,train-008050,medium,a,True,,True,True,True
p2_r4_audit_train-008050_b_low_c651e70973f3,train-008050,low,b,True,,True,True,True
p2_r4_audit_train-008050_b_medium_b3f48eef8a1f,train-008050,medium,b,True,,True,True,True
p2_r4_audit_train-008255_a_low_58db6ce23e02,train-008255,low,a,True,,True,True,True
p2_r4_audit_train-008255_a_medium_21cb81d3cb10,train-008255,medium,a,True,,True,True,True
p2_r4_audit_train-008255_b_low_a372376e8b43,train-008255,low,b,True,,True,True,True
p2_r4_audit_train-008255_b_medium_3dd8fdeac801,train-008255,medium,b,True,,True,True,True
p2_r4_audit_train-008783_a_low_2251a28130bb,train-008783,low,a,True,,True,True,True
p2_r4_audit_train-008783_a_medium_08da90b79f96,train-008783,medium,a,True,,True,True,True
p2_r4_audit_train-008783_b_low_243b86df228f,train-008783,low,b,True,,True,True,True
p2_r4_audit_train-008783_b_medium_59e0c2859388,train-008783,medium,b,True,,True,True,True
p2_r4_audit_train-009106_a_low_ceada864a091,train-009106,low,a,True,,True,True,True
p2_r4_audit_train-009106_a_medium_8abcecdff0cd,train-009106,medium,a,True,,True,True,True
p2_r4_audit_train-009106_b_low_cc9030e0a927,train-009106,low,b,True,,True,True,True
p2_r4_audit_train-009106_b_medium_8300fceed78b,train-009106,medium,b,True,,True,True,True
p2_r4_audit_train-009400_a_low_03312c50d5af,train-009400,low,a,True,,True,True,True
p2_r4_audit_train-009400_a_medium_66e8acd3b471,train-009400,medium,a,True,,True,True,True
p2_r4_audit_train-009400_b_low_8b0ed621b5a4,train-009400,low,b,True,,True,True,True
p2_r4_audit_train-009400_b_medium_9b3abe98b62e,train-009400,medium,b,True,,True,True,True
p2_r4_audit_train-009488_a_low_2ac8cd597f60,train-009488,low,a,True,,True,True,True
p2_r4_audit_train-009488_a_medium_d3a6821a3880,train-009488,medium,a,True,,True,True,True
p2_r4_audit_train-009488_b_low_3ef061b18bc2,train-009488,low,b,True,,True,True,True
p2_r4_audit_train-009488_b_medium_feeb30339ae3,train-009488,medium,b,True,,True,True,True
p2_r4_audit_train-009500_a_low_06318a7bc46d,train-009500,low,a,True,,True,True,True
p2_r4_audit_train-009500_a_medium_16ab77ce7739,train-009500,medium,a,True,,True,True,True
p2_r4_audit_train-009500_b_low_a2bf21e8b8c8,train-009500,low,b,True,,True,True,True
p2_r4_audit_train-009500_b_medium_1ab9f24366bb,train-009500,medium,b,True,,True,True,True
p2_r4_audit_train-009839_a_low_8c910cfa81b5,train-009839,low,a,True,,True,True,True
p2_r4_audit_train-009839_a_medium_e0f08fe1af51,train-009839,medium,a,True,,True,True,True
p2_r4_audit_train-009839_b_low_f66b26ee4800,train-009839,low,b,True,,True,True,True
p2_r4_audit_train-009839_b_medium_0abfa56abb16,train-009839,medium,b,True,,True,True,True
p2_r4_audit_train-009898_a_low_0aab1cec1cb4,train-009898,low,a,True,,True,True,True
p2_r4_audit_train-009898_a_medium_32afaea9a916,train-009898,medium,a,True,,True,True,True
p2_r4_audit_train-009898_b_low_836c58518b7c,train-009898,low,b,True,,True,True,True
p2_r4_audit_train-009898_b_medium_0b0c2fffd12f,train-009898,medium,b,True,,True,True,True
p2_r4_audit_train-010017_a_low_dcc9cb2937d5,train-010017,low,a,True,,True,True,True
p2_r4_audit_train-010017_a_medium_2cd3a2f04c04,train-010017,medium,a,True,,True,True,True
p2_r4_audit_train-010017_b_low_778246a9438c,train-010017,low,b,True,,True,True,True
p2_r4_audit_train-010017_b_medium_f60aadec6a8e,train-010017,medium,b,True,,True,True,True
p2_r4_audit_train-010036_a_low_28cd1d185432,train-010036,low,a,True,,True,True,True
p2_r4_audit_train-010036_a_medium_b095286515ee,train-010036,medium,a,True,,True,True,True
p2_r4_audit_train-010036_b_low_805fc9deefaa,train-010036,low,b,True,,True,True,True
p2_r4_audit_train-010036_b_medium_4f0e3122303a,train-010036,medium,b,True,,True,True,True
p2_r4_audit_train-010446_a_low_7f43666f1d25,train-010446,low,a,True,,True,True,True
p2_r4_audit_train-010446_a_medium_df4a009fe10e,train-010446,medium,a,True,,True,True,True
p2_r4_audit_train-010446_b_low_872bf553ccbd,train-010446,low,b,True,,True,True,True
p2_r4_audit_train-010446_b_medium_7bd8eec9ca94,train-010446,medium,b,True,,True,True,True
p2_r4_audit_train-010503_a_low_5aa728af18f3,train-010503,low,a,True,,True,True,True
p2_r4_audit_train-010503_a_medium_0ba1e2815866,train-010503,medium,a,True,,True,True,True
p2_r4_audit_train-010503_b_low_119b8f055028,train-010503,low,b,True,,True,True,True
p2_r4_audit_train-010503_b_medium_fd0d78ca7fdb,train-010503,medium,b,True,,True,True,True
p2_r4_audit_train-010682_a_low_5a5278faa9e3,train-010682,low,a,True,,True,True,True
p2_r4_audit_train-010682_a_medium_b6eef5d8ef5b,train-010682,medium,a,True,,True,True,True
p2_r4_audit_train-010682_b_low_a3b648f2e752,train-010682,low,b,True,,True,True,True
p2_r4_audit_train-010682_b_medium_55d53e1cb375,train-010682,medium,b,True,,True,True,True
p2_r4_audit_train-010730_a_low_9a3d50328ea3,train-010730,low,a,True,,True,True,True
p2_r4_audit_train-010730_a_medium_eb0560d908cd,train-010730,medium,a,True,,True,True,True
p2_r4_audit_train-010730_b_low_4b6602324082,train-010730,low,b,True,,True,True,True
p2_r4_audit_train-010730_b_medium_37fce385a589,train-010730,medium,b,True,,True,True,True
p2_r4_audit_train-010854_a_low_575cfb522754,train-010854,low,a,True,,True,True,True
p2_r4_audit_train-010854_a_medium_3e45f9e5c622,train-010854,medium,a,True,,True,True,True
p2_r4_audit_train-010854_b_low_72e62721af1e,train-010854,low,b,True,,True,True,True
p2_r4_audit_train-010854_b_medium_2c287a1128e8,train-010854,medium,b,True,,True,True,True
p2_r4_audit_train-010923_a_low_e309e35773b0,train-010923,low,a,True,,True,True,True
p2_r4_audit_train-010923_a_medium_3f65d0039825,train-010923,medium,a,True,,True,True,True
p2_r4_audit_train-010923_b_low_6b52559010e6,train-010923,low,b,True,,True,True,True
p2_r4_audit_train-010923_b_medium_a8ae493e5903,train-010923,medium,b,True,,True,True,True
p2_r4_audit_train-011027_a_low_7fd8a53030bb,train-011027,low,a,True,,True,True,True
p2_r4_audit_train-011027_a_medium_538d8326cdd5,train-011027,medium,a,True,,True,True,True
p2_r4_audit_train-011027_b_low_d8296535737d,train-011027,low,b,True,,True,True,True
p2_r4_audit_train-011027_b_medium_f4ebac7409ed,train-011027,medium,b,True,,True,True,True
p2_r4_audit_train-011098_a_low_1db2c05bbaa3,train-011098,low,a,True,,True,True,True
p2_r4_audit_train-011098_a_medium_59e4a14b6e3a,train-011098,medium,a,True,,True,True,True
p2_r4_audit_train-011098_b_low_4440885124a2,train-011098,low,b,True,,True,True,True
p2_r4_audit_train-011098_b_medium_e796a6fd92c0,train-011098,medium,b,True,,True,True,True
p2_r4_audit_train-011115_a_low_dc3696ad4fb5,train-011115,low,a,True,,True,True,True
p2_r4_audit_train-011115_a_medium_35b84e6d178f,train-011115,medium,a,True,,True,True,True
p2_r4_audit_train-011115_b_low_2ef32c484c8d,train-011115,low,b,True,,True,True,True
p2_r4_audit_train-011115_b_medium_e2eea45d8175,train-011115,medium,b,True,,True,True,True
p2_r4_audit_train-011266_a_low_12ef9063dc65,train-011266,low,a,True,,True,True,True
p2_r4_audit_train-011266_a_medium_d0e818d86081,train-011266,medium,a,True,,True,True,True
p2_r4_audit_train-011266_b_low_45a43179ae59,train-011266,low,b,True,,True,True,True
p2_r4_audit_train-011266_b_medium_f02b2352f40c,train-011266,medium,b,True,,True,True,True
p2_r4_audit_train-011275_a_low_32b9de1d09a0,train-011275,low,a,True,,True,True,True
p2_r4_audit_train-011275_a_medium_1421d3ea286a,train-011275,medium,a,True,,True,True,True
p2_r4_audit_train-011275_b_low_453154e38421,train-011275,low,b,True,,True,True,True
p2_r4_audit_train-011275_b_medium_d3128827986d,train-011275,medium,b,True,,True,True,True
p2_r4_audit_train-011721_a_low_ebf2588e926e,train-011721,low,a,True,,True,True,True
p2_r4_audit_train-011721_a_medium_92753effc2d4,train-011721,medium,a,True,,True,True,True
p2_r4_audit_train-011721_b_low_3d23c4084df9,train-011721,low,b,True,,True,True,True
p2_r4_audit_train-011721_b_medium_d70112fda0c7,train-011721,medium,b,True,,True,True,True
p2_r4_audit_train-012372_a_low_3559bd02e6cf,train-012372,low,a,True,,True,True,True
p2_r4_audit_train-012372_a_medium_e2e929a09e1d,train-012372,medium,a,True,,True,True,True
p2_r4_audit_train-012372_b_low_b2e32923d096,train-012372,low,b,True,,True,True,True
p2_r4_audit_train-012372_b_medium_22d0d1e34ca6,train-012372,medium,b,True,,True,True,True
p2_r4_audit_train-012517_a_low_fc711dbcc769,train-012517,low,a,True,,True,True,True
p2_r4_audit_train-012517_a_medium_0d62b18738a5,train-012517,medium,a,True,,True,True,True
p2_r4_audit_train-012517_b_low_8b3db925a64b,train-012517,low,b,True,,True,True,True
p2_r4_audit_train-012517_b_medium_b07c90544bc1,train-012517,medium,b,True,,True,True,True
p2_r4_audit_train-012610_a_low_b56887e5bf2a,train-012610,low,a,True,,True,True,True
p2_r4_audit_train-012610_a_medium_56bc7d7e3aef,train-012610,medium,a,True,,True,True,True
p2_r4_audit_train-012610_b_low_36efd130c6ee,train-012610,low,b,True,,True,True,True
p2_r4_audit_train-012610_b_medium_f35142c6ee24,train-012610,medium,b,True,,True,True,True
p2_r4_audit_train-012663_a_low_506665db4cbf,train-012663,low,a,True,,True,True,True
p2_r4_audit_train-012663_a_medium_fd617f730b24,train-012663,medium,a,True,,True,True,True
p2_r4_audit_train-012663_b_low_eb1b2299b55c,train-012663,low,b,True,,True,True,True
p2_r4_audit_train-012663_b_medium_664c3ae6ca16,train-012663,medium,b,True,,True,True,True
p2_r4_audit_train-012669_a_low_a19b88e0d412,train-012669,low,a,True,,True,True,True
p2_r4_audit_train-012669_a_medium_f1ce771a8063,train-012669,medium,a,True,,True,True,True
p2_r4_audit_train-012669_b_low_00b0cbcc8c57,train-012669,low,b,True,,True,True,True
p2_r4_audit_train-012669_b_medium_3e1285ac02a9,train-012669,medium,b,True,,True,True,True
p2_r4_audit_train-012761_a_low_a6f8dfa76959,train-012761,low,a,True,,True,True,True
p2_r4_audit_train-012761_a_medium_509bd20494d0,train-012761,medium,a,True,,True,True,True
p2_r4_audit_train-012761_b_low_47a53479ad3b,train-012761,low,b,True,,True,True,True
p2_r4_audit_train-012761_b_medium_25251b093ac0,train-012761,medium,b,True,,True,True,True
p2_r4_audit_train-012980_a_low_47ab2e61b6e6,train-012980,low,a,True,,True,True,True
p2_r4_audit_train-012980_a_medium_f91ccd9dab98,train-012980,medium,a,True,,True,True,True
p2_r4_audit_train-012980_b_low_76a0b8b59b77,train-012980,low,b,True,,True,True,True
p2_r4_audit_train-012980_b_medium_f104b9b848c5,train-012980,medium,b,True,,True,True,True
p2_r4_audit_train-013011_a_low_d8a6bb8f8e8b,train-013011,low,a,True,,True,True,True
p2_r4_audit_train-013011_a_medium_48fb43239d77,train-013011,medium,a,True,,True,True,True
p2_r4_audit_train-013011_b_low_a9ce0c7b7359,train-013011,low,b,True,,True,True,True
p2_r4_audit_train-013011_b_medium_98e0c5b68550,train-013011,medium,b,True,,True,True,True
p2_r4_audit_train-013018_a_low_5359106f7d7b,train-013018,low,a,True,,True,True,True
