row_number,id,source,source_row_idx,answer_type,final_answer,included,quality_tier,quality_score,f1_candidate,primary_exclusion_reason,exclusion_reasons,quality_flags,schema_valid,schema_errors,id_unique,id_provenance_consistent,messages_consistent,assistant_solution_consistent,last_final_line_consistent,solution_nonempty,solution_word_count,solution_char_count,length_band,problem_dependency_detected,tool_dependency_detected,truncation_detected,self_contradiction_detected,verifier_status,verifier_checked_equations,verifier_not_checked_expressions,verifier_failed_equations,verifier_coverage,manual_review_scope,manual_verdict,manual_error_type,manual_notes
35,omi2-000045052,augmented_gsm8k,45052,decimal,7.5,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,90,430,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
36,omi2-000054763,augmented_gsm8k,54763,decimal,482.25,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:partial_coverage,true,,true,true,true,true,true,true,167,848,preferred,false,false,false,false,passed_partial,1,5,0,0.166667,,,,
37,omi2-000041024,augmented_gsm8k,41024,integer,70,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,73,335,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
38,omi2-000006377,augmented_gsm8k,6377,integer,34500,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,162,792,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
39,omi2-000062985,augmented_math,62985,integer,30,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,104,546,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
40,omi2-000031882,augmented_math,31882,integer,10,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,349,2033,preferred,false,false,false,false,not_checked,0,1,0,0.000000,,,,
41,omi2-000006794,augmented_gsm8k,6794,integer,155,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,81,390,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
42,omi2-000053603,augmented_math,53603,decimal,9.6,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,99,574,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
43,omi2-000063372,augmented_gsm8k,63372,decimal,1.35,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,193,1043,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
44,omi2-000058966,augmented_math,58966,integer,5,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,98,382,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
45,omi2-000019550,augmented_math,19550,integer,13,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,195,1131,preferred,false,false,false,false,not_checked,0,6,0,0.000000,,,,
46,omi2-000016072,augmented_math,16072,integer,3,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,305,1553,preferred,false,false,false,false,not_checked,0,6,0,0.000000,,,,
47,omi2-000006887,augmented_math,6887,integer,2,true,low,1,false,,,verifier:not_checked,true,,true,true,true,true,true,true,51,288,acceptable,false,false,false,false,not_checked,0,2,0,0.000000,,,,
48,omi2-000010272,augmented_math,10272,integer,1026,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,238,835,preferred,false,false,false,false,not_checked,0,11,0,0.000000,,,,
49,omi2-000052458,augmented_gsm8k,52458,decimal,151.20,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,47,215,acceptable,false,false,false,false,not_checked,0,3,0,0.000000,,,,
50,omi2-000057451,augmented_math,57451,integer,91,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,268,1486,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
51,omi2-000022335,gsm8k,22335,integer,10,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,54,264,acceptable,false,false,false,false,not_checked,0,4,0,0.000000,,,,
52,omi2-000054669,augmented_gsm8k,54669,integer,84,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,100,484,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
53,omi2-000026716,augmented_gsm8k,26716,integer,20,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,104,504,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
54,omi2-000038471,augmented_gsm8k,38471,integer,20,true,medium,5,false,,,verifier:partial_coverage,true,,true,true,true,true,true,true,95,401,preferred,false,false,false,false,passed_partial,1,2,0,0.333333,,,,
55,omi2-000022188,augmented_math,22188,integer,3,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,192,1051,preferred,false,false,false,false,not_checked,0,1,0,0.000000,,,,
56,omi2-000036628,augmented_math,36628,integer,75,false,excluded,0,false,external_visual_or_problem_code_dependency,external_visual_or_problem_code_dependency,problem:external_visual_or_code_dependency|verifier:not_checked,true,,true,true,true,true,true,true,170,1019,preferred,true,false,false,false,not_checked,0,7,0,0.000000,,,,
57,omi2-000030258,augmented_math,30258,integer,3,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,168,792,preferred,false,false,false,false,not_checked,0,8,0,0.000000,,,,
58,omi2-000054176,augmented_gsm8k,54176,integer,1484000,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,139,723,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
59,omi2-000043334,augmented_math,43334,integer,1357,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,192,964,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
60,omi2-000058514,augmented_math,58514,decimal,0.205,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,192,1095,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
61,omi2-000060137,augmented_math,60137,integer,1792,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,180,781,preferred,false,false,false,false,not_checked,0,8,0,0.000000,,,,
62,omi2-000025914,augmented_math,25914,integer,1,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,405,1987,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
63,omi2-000049327,augmented_math,49327,integer,5,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,168,861,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
64,omi2-000003224,augmented_math,3224,integer,20030010,false,excluded,0,false,final_marker_inside_solution,final_marker_inside_solution,verifier:not_checked,true,,true,true,true,true,true,true,183,1032,preferred,false,false,false,false,not_checked,0,6,0,0.000000,,,,
65,omi2-000044891,augmented_math,44891,integer,4,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,252,1401,preferred,false,false,false,false,not_checked,0,13,0,0.000000,,,,
66,omi2-000062069,augmented_math,62069,integer,1333,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,202,969,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
67,omi2-000010756,augmented_math,10756,decimal,11.9,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,139,734,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
68,omi2-000029876,augmented_gsm8k,29876,integer,600,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,71,361,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
69,omi2-000054638,augmented_gsm8k,54638,integer,17,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,188,918,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
70,omi2-000030861,augmented_math,30861,fraction,5/2,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,81,493,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
71,omi2-000058085,augmented_gsm8k,58085,integer,48,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,99,513,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
72,omi2-000026891,augmented_math,26891,integer,40,false,excluded,0,false,external_visual_or_problem_code_dependency,external_visual_or_problem_code_dependency,problem:external_visual_or_code_dependency|verifier:not_checked,true,,true,true,true,true,true,true,237,1321,preferred,true,false,false,false,not_checked,0,4,0,0.000000,,,,
73,omi2-000012678,augmented_math,12678,decimal,22.5,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,117,656,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
74,omi2-000060195,augmented_math,60195,integer,12,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,192,972,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
75,omi2-000006532,augmented_math,6532,integer,0,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,270,1686,preferred,false,false,false,false,not_checked,0,0,0,0.000000,,,,
76,omi2-000020474,augmented_math,20474,integer,70,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,101,488,preferred,false,false,false,false,not_checked,0,1,0,0.000000,,,,
77,omi2-000059212,augmented_math,59212,integer,5,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,266,1461,preferred,false,false,false,false,not_checked,0,11,0,0.000000,,,,
78,omi2-000042100,augmented_math,42100,integer,10,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,140,662,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
79,omi2-000010106,augmented_math,10106,integer,1838265625,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,442,2211,preferred,false,false,false,false,not_checked,0,11,0,0.000000,,,,
80,omi2-000059319,gsm8k,59319,integer,250,true,medium,5,false,,,verifier:not_checked,true,,true,true,true,true,true,true,167,834,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
81,omi2-000061728,augmented_math,61728,integer,66551264,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,103,503,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
82,omi2-000027686,augmented_math,27686,integer,1,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,242,1189,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
83,omi2-000062662,augmented_math,62662,integer,50,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,223,1173,preferred,false,false,false,false,not_checked,0,7,0,0.000000,,,,
84,omi2-000023993,augmented_gsm8k,23993,integer,56,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,118,567,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
85,omi2-000054269,augmented_math,54269,integer,44,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,205,1322,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
86,omi2-000014199,augmented_math,14199,fraction,16/3,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer|external_visual_or_problem_code_dependency,problem:external_visual_or_code_dependency|verifier:not_checked,true,,true,true,true,true,true,true,255,1401,preferred,true,false,false,false,not_checked,0,8,0,0.000000,,,,
87,omi2-000039162,augmented_math,39162,integer,0,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,187,905,preferred,false,false,false,false,not_checked,0,0,0,0.000000,,,,
88,omi2-000057862,augmented_math,57862,integer,100,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,228,1269,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
89,omi2-000009807,augmented_gsm8k,9807,integer,798,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,109,567,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
90,omi2-000050712,augmented_gsm8k,50712,integer,1280,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,137,778,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
91,omi2-000034123,augmented_gsm8k,34123,decimal,0.25,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,84,413,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
92,omi2-000015473,augmented_math,15473,integer,2,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,79,392,preferred,false,false,false,false,not_checked,0,1,0,0.000000,,,,
93,omi2-000049228,augmented_math,49228,integer,4480,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,378,1463,preferred,false,false,false,false,not_checked,0,13,0,0.000000,,,,
94,omi2-000058829,augmented_math,58829,integer,6,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,263,1274,preferred,false,false,false,false,not_checked,0,10,0,0.000000,,,,
95,omi2-000029878,augmented_math,29878,integer,1,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,98,555,preferred,false,false,false,false,not_checked,0,7,0,0.000000,,,,
96,omi2-000032311,augmented_math,32311,integer,3,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,228,1034,preferred,false,false,false,false,not_checked,0,7,0,0.000000,,,,
97,omi2-000031369,augmented_math,31369,integer,4,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,310,1886,preferred,false,false,false,false,not_checked,0,13,0,0.000000,,,,
98,omi2-000065383,augmented_math,65383,decimal,4.9,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer|external_visual_or_problem_code_dependency,problem:external_visual_or_code_dependency|verifier:not_checked,true,,true,true,true,true,true,true,185,1064,preferred,true,false,false,false,not_checked,0,6,0,0.000000,,,,
99,omi2-000011939,augmented_math,11939,integer,24,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,268,1155,preferred,false,false,false,false,not_checked,0,15,0,0.000000,,,,
100,omi2-000022519,augmented_math,22519,integer,32,true,low,1,false,,,verifier:not_checked,true,,true,true,true,true,true,true,535,2933,acceptable,false,false,false,false,not_checked,0,1,0,0.000000,,,,
101,omi2-000014881,augmented_math,14881,decimal,37.5,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,188,1026,preferred,false,false,false,false,not_checked,0,11,0,0.000000,,,,
102,omi2-000025518,augmented_math,25518,fraction,193/256,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,183,1053,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
103,omi2-000005577,augmented_math,5577,fraction,2298450250/1911029761,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,115,1081,preferred,false,false,false,false,not_checked,0,12,0,0.000000,,,,
104,omi2-000065082,augmented_math,65082,integer,0,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,65,360,preferred,false,false,false,false,not_checked,0,0,0,0.000000,,,,
105,omi2-000063202,augmented_math,63202,integer,96,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,184,922,preferred,false,false,false,false,not_checked,0,8,0,0.000000,,,,
106,omi2-000051600,augmented_math,51600,fraction,-3984/9,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,275,1101,preferred,false,false,false,false,not_checked,0,16,0,0.000000,,,,
107,omi2-000032482,math,32482,integer,1,true,medium,5,false,,,verifier:not_checked,true,,true,true,true,true,true,true,142,649,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
108,omi2-000049114,augmented_math,49114,decimal,77.14,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,59,296,acceptable,false,false,false,false,not_checked,0,2,0,0.000000,,,,
109,omi2-000001596,augmented_math,1596,integer,64,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,124,655,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
110,omi2-000013511,augmented_math,13511,integer,0,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,436,2302,preferred,false,false,false,false,not_checked,0,13,0,0.000000,,,,
111,omi2-000017131,augmented_math,17131,fraction,1/3,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,168,915,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
112,omi2-000039624,augmented_math,39624,integer,5,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,267,1333,preferred,false,false,false,false,not_checked,0,2,0,0.000000,,,,
113,omi2-000011327,augmented_math,11327,integer,11,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,399,2011,preferred,false,false,false,false,not_checked,0,22,0,0.000000,,,,
114,omi2-000064747,augmented_math,64747,integer,1,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,346,1795,preferred,false,false,false,false,not_checked,0,12,0,0.000000,,,,
115,omi2-000039313,augmented_math,39313,integer,1,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,331,1684,preferred,false,false,false,false,not_checked,0,9,0,0.000000,,,,
116,omi2-000008992,augmented_math,8992,integer,23,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,243,1198,preferred,false,false,false,false,not_checked,0,1,0,0.000000,,,,
117,omi2-000062059,augmented_gsm8k,62059,integer,360,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,107,467,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
118,omi2-000010433,augmented_math,10433,integer,1120,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,194,1110,preferred,false,false,false,false,not_checked,0,7,0,0.000000,,,,
119,omi2-000064170,augmented_math,64170,fraction,1369/144,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,85,453,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
120,omi2-000026775,augmented_math,26775,integer,110,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,189,892,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
121,omi2-000050721,augmented_gsm8k,50721,integer,35,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,62,273,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
122,omi2-000005604,augmented_math,5604,fraction,50985/59049,false,excluded,0,false,non_integer_fraction_answer,non_integer_fraction_answer,verifier:not_checked,true,,true,true,true,true,true,true,335,1775,preferred,false,false,false,false,not_checked,0,7,0,0.000000,,,,
123,omi2-000048578,augmented_gsm8k,48578,integer,83,true,low,3,false,,,verifier:not_checked,true,,true,true,true,true,true,true,56,294,acceptable,false,false,false,false,not_checked,0,2,0,0.000000,,,,
124,omi2-000039876,augmented_math,39876,integer,6,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,414,2330,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
125,omi2-000063511,augmented_gsm8k,63511,integer,180,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,116,553,preferred,false,false,false,false,not_checked,0,4,0,0.000000,,,,
126,omi2-000033439,augmented_math,33439,integer,2,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,242,1042,preferred,false,false,false,false,not_checked,0,6,0,0.000000,,,,
127,omi2-000038512,augmented_gsm8k,38512,decimal,0.484,false,excluded,0,false,non_integer_decimal_answer,non_integer_decimal_answer,verifier:not_checked,true,,true,true,true,true,true,true,139,664,preferred,false,false,false,false,not_checked,0,5,0,0.000000,,,,
128,omi2-000058915,augmented_math,58915,integer,720,true,low,2,false,,,verifier:not_checked,true,,true,true,true,true,true,true,193,974,preferred,false,false,false,false,not_checked,0,1,0,0.000000,,,,
129,omi2-000063076,augmented_gsm8k,63076,integer,295,true,medium,4,false,,,verifier:not_checked,true,,true,true,true,true,true,true,86,418,preferred,false,false,false,false,not_checked,0,3,0,0.000000,,,,
