row_id,effort,diagnostic_grade_excluded_from_sft,candidate_a_label_match,candidate_b_label_match,pass_at_2,candidate_a_validation_passed,candidate_b_validation_passed,candidate_a_flags,candidate_b_flags
train-013689,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-012761,medium,D,False,False,False,False,False,label_mismatch,label_mismatch|arithmetic_inconsistency
train-011275,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-002773,medium,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-004074,medium,D,False,False,False,False,False,label_mismatch,label_mismatch|arithmetic_inconsistency
train-015551,medium,A,True,True,True,True,True,solution_too_short,
train-000108,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-001972,medium,B,True,True,True,False,True,abnormal_unicode|solution_too_short,
train-007262,medium,B,False,True,True,False,True,answer_extraction_failure|label_mismatch,
train-006453,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-010854,medium,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-003115,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|arithmetic_inconsistency,answer_extraction_failure|label_mismatch
train-003404,medium,A,True,True,True,True,True,,
train-006049,medium,D,True,True,True,False,False,solution_too_short|arithmetic_inconsistency,solution_too_short|arithmetic_inconsistency
train-013275,medium,D,False,False,False,False,False,label_mismatch|solution_too_short,label_mismatch|abnormal_unicode|solution_too_short
train-010036,medium,B,True,True,True,False,True,arithmetic_inconsistency,
train-001449,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-014215,medium,D,False,False,False,False,False,response_incomplete:max_output_tokens,response_incomplete:max_output_tokens
train-008783,medium,D,True,True,True,False,False,solution_too_short|arithmetic_inconsistency,solution_too_short|arithmetic_inconsistency
train-002879,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-007295,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-011721,medium,D,False,False,False,False,False,response_incomplete:max_output_tokens,label_mismatch
train-005105,medium,A,True,True,True,True,True,,solution_too_short
train-000795,medium,B,True,True,True,False,True,arithmetic_inconsistency,
train-004140,medium,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-005924,medium,D,False,False,False,False,False,label_mismatch|arithmetic_inconsistency,label_mismatch|arithmetic_inconsistency
train-009488,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-000221,medium,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-009500,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-008255,medium,A,True,True,True,True,True,,
train-007498,medium,A,True,True,True,True,True,,
train-006763,medium,B,False,True,True,False,True,label_mismatch,
train-007851,medium,A,True,True,True,True,True,solution_too_short,
train-015366,medium,B,True,True,True,True,False,,solution_too_short|arithmetic_inconsistency
train-016338,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch|solution_too_short
train-009400,medium,B,True,False,True,True,False,,label_mismatch
train-010730,medium,A,True,True,True,True,True,,solution_too_short
train-015491,medium,D,False,False,False,False,False,label_mismatch,label_mismatch
train-003183,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-012517,medium,A,True,True,True,True,True,solution_too_short,
train-006750,medium,D,False,False,False,False,False,response_incomplete:max_output_tokens,response_incomplete:max_output_tokens
train-014050,medium,A,True,True,True,True,True,,solution_too_short
train-010017,medium,B,True,True,True,True,False,,arithmetic_inconsistency
train-009106,medium,A,True,True,True,True,True,solution_too_short,
train-005372,medium,D,False,False,False,False,False,label_mismatch,label_mismatch
train-009839,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|solution_too_short|arithmetic_inconsistency,answer_extraction_failure|label_mismatch|solution_too_short|arithmetic_inconsistency
train-005962,medium,D,True,True,True,False,False,arithmetic_inconsistency,arithmetic_inconsistency
train-010923,medium,D,True,False,True,False,False,arithmetic_inconsistency,label_mismatch|arithmetic_inconsistency
train-010682,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-013018,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-015243,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-004795,medium,A,True,True,True,True,True,solution_too_short,
train-011027,medium,D,False,False,False,False,False,response_incomplete:max_output_tokens,response_incomplete:max_output_tokens
train-007339,medium,D,True,True,True,False,False,arithmetic_inconsistency,solution_too_short|arithmetic_inconsistency
train-010446,medium,A,True,True,True,True,True,solution_too_short,solution_too_short
train-013362,medium,A,True,True,True,True,True,,solution_too_short
train-016837,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-013011,medium,B,True,True,True,True,False,solution_too_short,solution_too_short|arithmetic_inconsistency
train-013436,medium,D,False,True,True,False,False,answer_extraction_failure|label_mismatch,arithmetic_inconsistency
train-002837,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|solution_too_short,answer_extraction_failure|label_mismatch|solution_too_short|arithmetic_inconsistency
train-006820,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch|arithmetic_inconsistency,answer_extraction_failure|label_mismatch
train-000485,medium,D,False,False,False,False,False,answer_extraction_failure|label_mismatch,answer_extraction_failure|label_mismatch
train-016806,medium,D,True,True,True,False,False,solution_too_short|arithmetic_inconsistency,solution_too_short|arithmetic_inconsistency
train-016067,medium,D,True,True,True,False,False,solution_too_short|arithmetic_inconsistency,solution_too_short|arithmetic_inconsistency
