id,selection_reasons,problem_type,question_length,answer_sign,answer_magnitude
train-002034,large_integer_answer,arithmetic_word_problem,252,positive,d6_plus
train-002036,long_word_problem,algebra,601,positive,d2
train-002117,long_word_problem,arithmetic_word_problem,621,positive,d2
train-002126,combinatorics_probability,combinatorics_probability,401,positive,d3
train-002137,combinatorics_probability,combinatorics_probability,123,positive,d2
train-002144,number_theory,number_theory,203,positive,d1
train-002230,geometry,geometry,308,positive,d3
train-002310,condition_omission_risk,geometry,286,positive,d1
train-002316,geometry,geometry,201,positive,d2
train-002342,condition_omission_risk,algebra,355,positive,d3
train-002344,number_theory,geometry,257,positive,d1
train-002355,long_word_problem,algebra,1501,positive,d4_5
train-002356,number_theory,number_theory,59,positive,d2
train-002359,combinatorics_probability,number_theory,223,positive,d4_5
train-002364,condition_omission_risk,arithmetic_word_problem,268,positive,d3
train-002383,condition_omission_risk,arithmetic_word_problem,411,positive,d4_5
train-002483,geometry,geometry,146,positive,d2
train-002529,large_integer_answer,arithmetic_word_problem,170,positive,d6_plus
train-002567,large_integer_answer,arithmetic_word_problem,337,positive,d6_plus
train-002582,long_word_problem,arithmetic_word_problem,859,positive,d2
train-002583,condition_omission_risk,geometry,186,positive,d2
train-002600,combinatorics_probability,combinatorics_probability,191,positive,d3
train-002638,long_word_problem,algebra,631,positive,d4_5
train-002670,number_theory,number_theory,363,positive,d4_5
train-002753,condition_omission_risk,arithmetic_word_problem,331,positive,d2
train-002897,long_word_problem,arithmetic_word_problem,1195,positive,d2
train-002961,geometry,geometry,323,positive,d4_5
train-002980,large_integer_answer,combinatorics_probability,207,positive,d6_plus
train-002983,combinatorics_probability,combinatorics_probability,338,positive,d1
train-002988,condition_omission_risk,arithmetic_word_problem,337,positive,d2
train-002991,number_theory,number_theory,71,positive,d1
train-002993,condition_omission_risk,arithmetic_word_problem,480,positive,d2
train-003016,number_theory,number_theory,114,positive,d1
train-003021,combinatorics_probability,combinatorics_probability,437,positive,d1
train-003064,combinatorics_probability,combinatorics_probability,253,positive,d2
train-003082,combinatorics_probability,combinatorics_probability,234,positive,d1
train-003189,long_word_problem,arithmetic_word_problem,1975,positive,d3
train-003202,long_word_problem,arithmetic_word_problem,1019,positive,d4_5
train-003288,large_integer_answer,arithmetic_word_problem,159,positive,d6_plus
train-003328,combinatorics_probability,number_theory,145,positive,d1
train-003428,number_theory,number_theory,119,positive,d1
train-003433,geometry,geometry,254,positive,d1
train-003452,geometry,geometry,160,positive,d1
train-003563,combinatorics_probability,combinatorics_probability,362,positive,d4_5
train-003574,geometry,geometry,98,positive,d2
train-003702,combinatorics_probability,combinatorics_probability,178,positive,d3
train-003709,number_theory,number_theory,82,positive,d1
train-003713,combinatorics_probability,combinatorics_probability,132,positive,d4_5
train-003735,long_word_problem,arithmetic_word_problem,730,positive,d2
train-003740,geometry,geometry,276,positive,d1
train-003762,condition_omission_risk,arithmetic_word_problem,261,positive,d2
train-003826,number_theory,number_theory,188,positive,d1
train-003846,long_word_problem,arithmetic_word_problem,928,positive,d1
train-003854,geometry,geometry,240,positive,d1
train-003890,condition_omission_risk,geometry,194,positive,d2
train-003899,geometry,geometry,121,positive,d1
train-003944,condition_omission_risk,arithmetic_word_problem,486,positive,d3
train-003949,long_word_problem,arithmetic_word_problem,789,positive,d4_5
train-003995,large_integer_answer|number_theory,number_theory,141,positive,d6_plus
train-003996,large_integer_answer,arithmetic_word_problem,353,positive,d6_plus
train-004041,number_theory,number_theory,49,positive,d1
train-004062,long_word_problem,arithmetic_word_problem,611,positive,d4_5
train-004097,number_theory,number_theory,604,positive,d2
train-004123,number_theory,geometry,392,positive,d2
train-004204,number_theory,number_theory,211,positive,d2
train-004206,condition_omission_risk,combinatorics_probability,298,positive,d3
train-004257,long_word_problem,arithmetic_word_problem,713,positive,d2
train-004288,condition_omission_risk,arithmetic_word_problem,154,positive,d3
train-004304,condition_omission_risk,algebra,400,positive,d6_plus
train-004329,geometry,geometry,254,positive,d2
train-004334,combinatorics_probability,combinatorics_probability,257,positive,d4_5
train-004493,condition_omission_risk,arithmetic_word_problem,207,positive,d2
train-004550,geometry,geometry,196,positive,d1
train-004552,number_theory,number_theory,215,positive,d2
train-004576,geometry,geometry,442,positive,d4_5
train-004582,condition_omission_risk,combinatorics_probability,291,positive,d2
train-004599,condition_omission_risk,arithmetic_word_problem,440,positive,d1
train-004602,combinatorics_probability,combinatorics_probability,209,positive,d2
train-004609,combinatorics_probability,combinatorics_probability,85,positive,d3
train-004625,number_theory,geometry,396,positive,d2
train-004642,combinatorics_probability,combinatorics_probability,1179,positive,d3
train-004653,combinatorics_probability,combinatorics_probability,257,positive,d4_5
train-004658,condition_omission_risk,geometry,285,positive,d1
train-004676,combinatorics_probability|long_word_problem,combinatorics_probability,605,positive,d3
train-004690,combinatorics_probability,number_theory,217,positive,d2
train-004695,combinatorics_probability,combinatorics_probability,287,positive,d3
train-004716,geometry,geometry,239,positive,d2
train-004828,long_word_problem,arithmetic_word_problem,923,positive,d3
train-004855,geometry,geometry,212,positive,d3
train-004858,condition_omission_risk,arithmetic_word_problem,322,positive,d3
train-004877,long_word_problem,arithmetic_word_problem,1248,positive,d4_5
train-004952,large_integer_answer,arithmetic_word_problem,319,positive,d6_plus
train-004978,geometry,geometry,87,positive,d2
train-004999,combinatorics_probability,combinatorics_probability,338,positive,d2
train-005027,large_integer_answer,arithmetic_word_problem,39,positive,d6_plus
train-005049,condition_omission_risk,arithmetic_word_problem,218,positive,d2
train-005058,combinatorics_probability,combinatorics_probability,307,positive,d2
train-005153,combinatorics_probability,geometry,161,positive,d3
train-005165,large_integer_answer,arithmetic_word_problem,196,positive,d6_plus
train-005274,combinatorics_probability,combinatorics_probability,113,positive,d2
train-005293,number_theory,number_theory,114,positive,d1
train-005305,large_integer_answer,arithmetic_word_problem,240,positive,d6_plus
train-005351,long_word_problem,algebra,824,positive,d4_5
train-005375,geometry,geometry,180,positive,d2
train-005419,geometry,geometry,252,positive,d2
train-005577,number_theory,number_theory,116,positive,d2
train-005614,number_theory,number_theory,221,positive,d3
train-005615,long_word_problem,arithmetic_word_problem,1078,positive,d1
train-005617,condition_omission_risk,geometry,589,positive,d2
train-005655,condition_omission_risk|long_word_problem,arithmetic_word_problem,716,positive,d2
train-005656,geometry,geometry,386,zero,d1
train-005720,number_theory,number_theory,376,positive,d3
train-005752,long_word_problem,arithmetic_word_problem,727,positive,d3
train-005790,condition_omission_risk,arithmetic_word_problem,145,positive,d4_5
train-005833,long_word_problem,number_theory,905,positive,d3
train-005855,long_word_problem,arithmetic_word_problem,1240,positive,d1
train-005907,combinatorics_probability,combinatorics_probability,560,positive,d4_5
train-005915,combinatorics_probability,combinatorics_probability,218,positive,d4_5
train-005969,condition_omission_risk,arithmetic_word_problem,583,positive,d3
train-006010,number_theory,number_theory,147,zero,d1
train-006088,long_word_problem,arithmetic_word_problem,1167,positive,d2
train-006099,number_theory,number_theory,277,positive,d2
train-006189,geometry,geometry,109,positive,d2
train-006195,long_word_problem,geometry,727,positive,d6_plus
train-006219,geometry,geometry,195,positive,d4_5
train-006285,combinatorics_probability|number_theory,number_theory,554,positive,d3
train-006295,condition_omission_risk,arithmetic_word_problem,248,positive,d2
train-006297,long_word_problem,arithmetic_word_problem,784,positive,d2
train-006307,number_theory,number_theory,127,positive,d1
train-006311,large_integer_answer,arithmetic_word_problem,276,positive,d6_plus
train-006328,long_word_problem,combinatorics_probability,876,positive,d2
train-006342,geometry,geometry,232,positive,d2
train-006418,geometry,geometry,674,positive,d3
train-006441,long_word_problem,arithmetic_word_problem,1394,positive,d2
train-006459,geometry,geometry,155,positive,d2
train-006462,number_theory,number_theory,228,positive,d2
train-006472,geometry,geometry,126,positive,d1
train-006474,geometry,geometry,312,positive,d1
train-006487,combinatorics_probability,combinatorics_probability,225,positive,d2
train-006611,condition_omission_risk,arithmetic_word_problem,1579,positive,d4_5
train-006623,condition_omission_risk,combinatorics_probability,586,positive,d2
train-006626,combinatorics_probability,number_theory,237,positive,d3
train-006652,combinatorics_probability,combinatorics_probability,289,positive,d3
train-006670,large_integer_answer,arithmetic_word_problem,155,positive,d6_plus
train-006730,large_integer_answer,arithmetic_word_problem,368,positive,d6_plus
train-006738,large_integer_answer,arithmetic_word_problem,291,positive,d6_plus
train-006847,geometry,geometry,257,positive,d3
train-006932,number_theory,number_theory,106,positive,d4_5
train-006945,large_integer_answer,arithmetic_word_problem,271,positive,d6_plus
train-006996,condition_omission_risk,combinatorics_probability,364,positive,d6_plus
train-007015,combinatorics_probability,combinatorics_probability,120,positive,d3
train-007116,number_theory,geometry,519,positive,d2
train-007127,geometry,geometry,510,positive,d3
train-007151,geometry,geometry,252,positive,d2
train-007171,combinatorics_probability,combinatorics_probability,190,positive,d2
train-007180,large_integer_answer,arithmetic_word_problem,203,positive,d6_plus
train-007243,long_word_problem,arithmetic_word_problem,748,positive,d2
train-007244,geometry,geometry,225,positive,d3
train-007254,geometry,geometry,377,positive,d2
train-007407,number_theory,number_theory,146,positive,d3
train-007477,number_theory,number_theory,81,positive,d2
train-007497,condition_omission_risk,arithmetic_word_problem,275,positive,d1
train-007537,condition_omission_risk,arithmetic_word_problem,530,positive,d2
train-007572,number_theory,number_theory,338,positive,d2
train-007573,large_integer_answer,arithmetic_word_problem,267,positive,d6_plus
train-007609,condition_omission_risk|long_word_problem,arithmetic_word_problem,774,positive,d3
train-007619,long_word_problem,algebra,1229,positive,d3
train-007628,large_integer_answer,arithmetic_word_problem,52,positive,d6_plus
train-007656,combinatorics_probability,number_theory,416,positive,d4_5
train-007699,condition_omission_risk,arithmetic_word_problem,580,positive,d2
train-007727,long_word_problem,arithmetic_word_problem,1184,positive,d2
train-007740,large_integer_answer,geometry,187,positive,d6_plus
train-007742,geometry,geometry,616,positive,d1
train-007777,large_integer_answer,algebra,507,positive,d6_plus
train-007791,condition_omission_risk,geometry,529,positive,d2
train-007807,condition_omission_risk,algebra,332,positive,d1
train-007830,condition_omission_risk,combinatorics_probability,1123,positive,d4_5
train-007839,condition_omission_risk,number_theory,339,positive,d6_plus
train-007873,combinatorics_probability,combinatorics_probability,507,positive,d2
train-007915,condition_omission_risk,geometry,789,positive,d2
train-007919,geometry,geometry,145,positive,d3
train-007952,large_integer_answer,arithmetic_word_problem,112,positive,d6_plus
train-007955,condition_omission_risk,arithmetic_word_problem,224,positive,d4_5
train-007975,geometry,geometry,274,positive,d2
train-007988,long_word_problem,arithmetic_word_problem,761,positive,d1
train-008004,condition_omission_risk,algebra,238,positive,d6_plus
train-008041,number_theory,number_theory,221,positive,d3
train-008077,large_integer_answer,combinatorics_probability,527,positive,d6_plus
train-008107,condition_omission_risk,arithmetic_word_problem,304,positive,d2
train-008111,combinatorics_probability,combinatorics_probability,323,positive,d2
train-008130,number_theory,number_theory,463,positive,d2
train-008146,number_theory,number_theory,431,positive,d3
train-008194,number_theory,number_theory,161,positive,d2
train-008220,long_word_problem,algebra,626,positive,d1
train-008246,geometry,geometry,287,positive,d1
train-008265,large_integer_answer,arithmetic_word_problem,318,positive,d6_plus
train-008275,long_word_problem,algebra,3594,positive,d2
train-008296,long_word_problem,combinatorics_probability,645,positive,d2
train-008317,combinatorics_probability,combinatorics_probability,220,positive,d3
train-008322,combinatorics_probability,combinatorics_probability,286,positive,d1
train-008372,long_word_problem,arithmetic_word_problem,758,positive,d3
train-008381,long_word_problem,geometry,749,negative,d3
train-008457,long_word_problem,arithmetic_word_problem,772,positive,d4_5
train-008468,combinatorics_probability,combinatorics_probability,168,positive,d3
train-008500,condition_omission_risk,arithmetic_word_problem,345,positive,d1
train-008512,condition_omission_risk,geometry,388,positive,d1
train-008535,combinatorics_probability,combinatorics_probability,443,positive,d1
train-008631,large_integer_answer,number_theory,73,positive,d6_plus
train-008639,geometry,geometry,134,positive,d1
train-008640,combinatorics_probability|number_theory,number_theory,246,positive,d1
train-008660,number_theory,number_theory,270,positive,d4_5
train-008666,large_integer_answer,arithmetic_word_problem,371,positive,d6_plus
train-008742,large_integer_answer,algebra,298,positive,d6_plus
train-008769,condition_omission_risk,geometry,286,positive,d2
train-008802,combinatorics_probability,combinatorics_probability,94,positive,d2
train-008808,geometry,geometry,229,positive,d1
train-008825,large_integer_answer,arithmetic_word_problem,28,positive,d6_plus
train-008834,long_word_problem,arithmetic_word_problem,1078,positive,d1
train-008867,combinatorics_probability,combinatorics_probability,326,zero,d1
train-008880,condition_omission_risk,arithmetic_word_problem,285,positive,d3
train-008940,geometry,geometry,98,positive,d4_5
train-008943,large_integer_answer,arithmetic_word_problem,117,positive,d6_plus
train-008958,condition_omission_risk,number_theory,422,positive,d2
train-008970,combinatorics_probability,combinatorics_probability,249,positive,d3
train-008974,large_integer_answer,arithmetic_word_problem,26,positive,d6_plus
train-008979,combinatorics_probability,combinatorics_probability,354,positive,d4_5
train-009017,condition_omission_risk,arithmetic_word_problem,407,positive,d1
train-009023,number_theory,number_theory,167,positive,d4_5
train-009066,geometry,geometry,549,positive,d2
train-009075,geometry,geometry,150,positive,d4_5
train-009076,combinatorics_probability,combinatorics_probability,571,positive,d1
train-009077,large_integer_answer,arithmetic_word_problem,229,positive,d6_plus
train-009189,geometry|number_theory,geometry,98,positive,d1
train-009197,large_integer_answer,arithmetic_word_problem,153,negative,d6_plus
train-009210,large_integer_answer,arithmetic_word_problem,251,positive,d6_plus
train-009220,large_integer_answer,algebra,489,positive,d6_plus
train-009230,long_word_problem,arithmetic_word_problem,860,positive,d2
train-009247,large_integer_answer,arithmetic_word_problem,225,positive,d6_plus
train-009283,large_integer_answer,arithmetic_word_problem,81,positive,d6_plus
train-009289,condition_omission_risk,geometry,253,positive,d1
train-009308,large_integer_answer,algebra,145,positive,d6_plus
train-009438,condition_omission_risk,arithmetic_word_problem,206,positive,d1
train-009450,long_word_problem,arithmetic_word_problem,839,positive,d2
train-009455,combinatorics_probability,combinatorics_probability,213,positive,d3
train-009459,long_word_problem,algebra,950,positive,d1
train-009464,long_word_problem,arithmetic_word_problem,1302,positive,d4_5
train-009510,condition_omission_risk,combinatorics_probability,290,positive,d1
train-009521,number_theory,geometry,78,positive,d2
train-009567,geometry,geometry,254,positive,d2
train-009596,number_theory,geometry,303,positive,d3
train-009605,geometry,geometry,246,positive,d3
train-009614,number_theory,number_theory,94,positive,d1
train-009658,geometry,geometry,211,positive,d1
train-009722,combinatorics_probability,combinatorics_probability,319,positive,d1
train-009726,combinatorics_probability,combinatorics_probability,346,positive,d3
train-009753,large_integer_answer,arithmetic_word_problem,158,positive,d6_plus
train-009767,large_integer_answer,geometry,513,positive,d6_plus
train-009799,condition_omission_risk|long_word_problem,geometry,609,positive,d3
train-009809,combinatorics_probability,combinatorics_probability,85,positive,d2
train-009848,number_theory,number_theory,272,positive,d1
train-009855,long_word_problem,algebra,647,positive,d4_5
train-009877,combinatorics_probability,combinatorics_probability,195,positive,d1
train-009909,long_word_problem,geometry,766,positive,d4_5
train-009919,number_theory,number_theory,523,positive,d2
train-009958,large_integer_answer,arithmetic_word_problem,291,positive,d6_plus
train-010002,large_integer_answer,geometry,347,positive,d6_plus
train-010020,condition_omission_risk,algebra,456,positive,d1
train-010081,number_theory,number_theory,130,positive,d1
train-010112,large_integer_answer,algebra,111,positive,d6_plus
train-010152,combinatorics_probability,combinatorics_probability,505,positive,d2
train-010162,number_theory,number_theory,263,positive,d1
train-010195,large_integer_answer,arithmetic_word_problem,139,positive,d6_plus
train-010215,large_integer_answer,combinatorics_probability,550,positive,d6_plus
train-010250,condition_omission_risk,geometry,607,positive,d4_5
train-010278,large_integer_answer,arithmetic_word_problem,49,positive,d6_plus
train-010294,large_integer_answer,arithmetic_word_problem,141,positive,d6_plus
train-010307,combinatorics_probability,combinatorics_probability,218,positive,d3
train-010418,geometry,geometry,255,positive,d1
train-010526,large_integer_answer,arithmetic_word_problem,112,positive,d6_plus
train-010564,condition_omission_risk,arithmetic_word_problem,672,positive,d6_plus
train-010634,number_theory,number_theory,86,positive,d2
train-010763,geometry,geometry,536,positive,d3
train-010820,geometry,geometry,151,positive,d1
train-010839,number_theory,number_theory,171,positive,d2
train-010856,condition_omission_risk|number_theory,number_theory,440,positive,d3
train-010868,geometry,geometry,145,positive,d4_5
train-010879,long_word_problem,arithmetic_word_problem,1129,positive,d3
train-010881,combinatorics_probability|large_integer_answer,combinatorics_probability,211,positive,d6_plus
train-010886,large_integer_answer,algebra,828,positive,d6_plus
train-010908,number_theory,number_theory,140,positive,d2
train-010993,long_word_problem,combinatorics_probability,646,positive,d4_5
train-011053,condition_omission_risk,combinatorics_probability,309,positive,d2
train-011158,number_theory,number_theory,200,positive,d4_5
train-011201,long_word_problem,algebra,724,positive,d4_5
train-011205,large_integer_answer,number_theory,147,positive,d6_plus
train-011233,number_theory,number_theory,194,positive,d1
train-011242,geometry,geometry,242,positive,d4_5
train-011280,condition_omission_risk,geometry,482,zero,d1
train-011307,geometry,geometry,378,positive,d4_5
train-011334,combinatorics_probability,combinatorics_probability,444,positive,d1
train-011352,combinatorics_probability,combinatorics_probability,240,positive,d2
train-011466,long_word_problem,combinatorics_probability,642,positive,d3
train-011490,large_integer_answer,arithmetic_word_problem,75,positive,d6_plus
train-011506,combinatorics_probability,combinatorics_probability,469,positive,d3
train-011538,large_integer_answer,arithmetic_word_problem,244,positive,d6_plus
train-011548,large_integer_answer,arithmetic_word_problem,227,positive,d6_plus
train-011609,large_integer_answer,algebra,204,positive,d6_plus
train-011617,number_theory,number_theory,258,positive,d1
train-011624,geometry,geometry,212,positive,d1
train-011742,condition_omission_risk,arithmetic_word_problem,222,positive,d1
train-011767,large_integer_answer,arithmetic_word_problem,83,positive,d6_plus
train-011811,number_theory,number_theory,208,positive,d4_5
train-011854,long_word_problem,arithmetic_word_problem,603,positive,d4_5
train-011888,number_theory,geometry,551,positive,d2
train-011942,long_word_problem,arithmetic_word_problem,1052,positive,d2
train-011972,long_word_problem,number_theory,658,positive,d1
train-011988,condition_omission_risk,geometry,553,positive,d3
train-012004,condition_omission_risk,arithmetic_word_problem,249,positive,d1
train-012028,number_theory,number_theory,128,positive,d6_plus
train-012082,condition_omission_risk,arithmetic_word_problem,562,positive,d2
train-012098,long_word_problem,arithmetic_word_problem,759,positive,d2
train-012190,number_theory,number_theory,153,positive,d1
train-012259,geometry,geometry,181,positive,d1
train-012360,long_word_problem,arithmetic_word_problem,751,positive,d2
train-012428,geometry,geometry,193,positive,d4_5
train-012442,condition_omission_risk,arithmetic_word_problem,622,positive,d1
train-012472,long_word_problem,geometry,1004,positive,d3
train-012485,long_word_problem,arithmetic_word_problem,929,positive,d2
train-012496,combinatorics_probability,combinatorics_probability,211,positive,d3
train-012558,combinatorics_probability,combinatorics_probability,420,positive,d2
train-012608,condition_omission_risk,arithmetic_word_problem,410,positive,d1
train-012611,condition_omission_risk,arithmetic_word_problem,291,positive,d1
train-012618,large_integer_answer,arithmetic_word_problem,193,positive,d6_plus
train-012623,combinatorics_probability,combinatorics_probability,344,positive,d2
train-012732,condition_omission_risk,geometry,276,positive,d1
train-012758,combinatorics_probability,geometry,251,positive,d3
train-012762,condition_omission_risk,geometry,643,positive,d3
train-012778,geometry,geometry,101,positive,d1
train-012806,geometry,geometry,237,positive,d2
train-012847,condition_omission_risk,arithmetic_word_problem,264,positive,d2
train-012877,condition_omission_risk,arithmetic_word_problem,248,positive,d3
train-012883,number_theory,number_theory,130,positive,d2
train-012960,number_theory,geometry,307,positive,d1
train-012968,combinatorics_probability,combinatorics_probability,339,positive,d1
train-012978,large_integer_answer,combinatorics_probability,448,positive,d6_plus
train-013017,combinatorics_probability,combinatorics_probability,297,positive,d2
train-013041,number_theory,number_theory,201,positive,d1
train-013068,large_integer_answer,number_theory,173,positive,d6_plus
train-013079,large_integer_answer,arithmetic_word_problem,166,positive,d6_plus
train-013133,condition_omission_risk,arithmetic_word_problem,88,positive,d2
train-013165,geometry,geometry,202,positive,d2
train-013236,combinatorics_probability,combinatorics_probability,156,positive,d3
train-013237,large_integer_answer,arithmetic_word_problem,139,positive,d6_plus
train-013309,large_integer_answer,algebra,247,positive,d6_plus
train-013372,combinatorics_probability,combinatorics_probability,301,positive,d2
train-013381,condition_omission_risk,arithmetic_word_problem,577,positive,d1
train-013390,combinatorics_probability,combinatorics_probability,318,positive,d2
train-013499,geometry,geometry,104,positive,d1
train-013530,large_integer_answer,arithmetic_word_problem,36,positive,d6_plus
train-013547,long_word_problem|number_theory,number_theory,719,positive,d2
train-013675,number_theory,number_theory,96,positive,d1
train-013697,long_word_problem,algebra,684,positive,d6_plus
train-013700,large_integer_answer|number_theory,number_theory,321,positive,d6_plus
train-013755,condition_omission_risk,combinatorics_probability,664,positive,d2
train-013795,combinatorics_probability,combinatorics_probability,317,positive,d6_plus
train-013801,geometry,geometry,169,positive,d2
train-013871,geometry,geometry,281,positive,d2
train-013926,combinatorics_probability,combinatorics_probability,295,positive,d4_5
train-014004,combinatorics_probability,number_theory,242,positive,d4_5
train-014078,long_word_problem,arithmetic_word_problem,640,positive,d3
train-014097,large_integer_answer,combinatorics_probability,108,positive,d6_plus
train-014108,condition_omission_risk|long_word_problem,geometry,729,positive,d1
train-014151,combinatorics_probability,combinatorics_probability,400,positive,d2
train-014152,geometry,geometry,131,positive,d2
train-014163,condition_omission_risk,geometry,573,positive,d1
train-014177,large_integer_answer,combinatorics_probability,154,positive,d6_plus
train-014230,number_theory,number_theory,107,positive,d2
train-014242,long_word_problem,geometry,806,positive,d2
train-014304,combinatorics_probability,combinatorics_probability,288,zero,d1
train-014359,large_integer_answer,arithmetic_word_problem,39,positive,d6_plus
train-014371,number_theory,number_theory,63,positive,d4_5
train-014390,long_word_problem,algebra,735,positive,d1
train-014395,number_theory,number_theory,441,positive,d4_5
train-014403,geometry,geometry,149,positive,d6_plus
train-014418,combinatorics_probability|long_word_problem,geometry,619,positive,d6_plus
train-014421,number_theory,number_theory,144,positive,d6_plus
train-014429,number_theory,number_theory,191,positive,d2
train-014452,number_theory,number_theory,394,positive,d1
train-014459,condition_omission_risk,number_theory,97,positive,d3
train-014509,large_integer_answer,combinatorics_probability,384,positive,d6_plus
train-014598,combinatorics_probability|large_integer_answer,combinatorics_probability,153,positive,d6_plus
train-014624,condition_omission_risk,geometry,1572,positive,d2
train-014667,geometry,geometry,98,positive,d4_5
train-014670,large_integer_answer,arithmetic_word_problem,290,positive,d6_plus
train-014695,condition_omission_risk,arithmetic_word_problem,175,positive,d4_5
train-014702,geometry,geometry,332,positive,d3
train-014712,large_integer_answer,arithmetic_word_problem,114,positive,d6_plus
train-014735,number_theory,number_theory,110,positive,d3
train-014761,geometry,geometry,371,positive,d3
train-014795,long_word_problem,arithmetic_word_problem,905,positive,d3
train-014816,combinatorics_probability,geometry,383,positive,d3
train-014821,combinatorics_probability,combinatorics_probability,529,positive,d1
train-014823,geometry,geometry,208,positive,d2
train-014846,combinatorics_probability,number_theory,288,positive,d2
train-014880,geometry,geometry,204,positive,d1
train-014929,number_theory,geometry,393,positive,d2
train-014984,geometry,geometry,409,positive,d2
train-015028,number_theory,number_theory,62,positive,d1
train-015053,combinatorics_probability,combinatorics_probability,408,positive,d2
train-015063,combinatorics_probability,combinatorics_probability,1139,positive,d2
train-015074,geometry,geometry,341,positive,d2
train-015161,large_integer_answer,combinatorics_probability,328,positive,d6_plus
train-015176,long_word_problem,algebra,701,positive,d1
train-015226,combinatorics_probability,combinatorics_probability,763,positive,d3
train-015227,geometry,geometry,375,positive,d4_5
train-015233,number_theory,geometry,633,positive,d4_5
train-015235,large_integer_answer,number_theory,422,positive,d6_plus
train-015245,condition_omission_risk,arithmetic_word_problem,690,positive,d2
train-015262,number_theory,number_theory,104,positive,d2
train-015272,number_theory,number_theory,153,zero,d1
train-015276,long_word_problem,arithmetic_word_problem,677,positive,d2
train-015296,large_integer_answer,arithmetic_word_problem,313,positive,d6_plus
