id,decision,reason_codes,problem_type,question_length,length_bucket,answer_sign,answer_magnitude,has_unit,is_hard_type,template_sha256,leaderboard_near_score,leaderboard_match_id
train-000041,exclude,phase1_evaluation_id,geometry,376,257_512,positive,d6_plus,False,True,a03481268b34b739e78b8af98013cf1c3518466ff6163303f766c098fcff0f78,,
train-000042,eligible,,arithmetic_word_problem,70,le128,positive,d3,False,False,dff177eee0d185154318a6d2cd4e9f87291007eb252cbee968cc9c64c981524e,,
train-000043,eligible,,arithmetic_word_problem,128,le128,positive,d2,True,False,6f60c0a8677f715aa529c726a0cd6291185b5be91f9c0ea6ea6a286f815b3169,,
train-000044,eligible,,arithmetic_word_problem,153,129_256,positive,d1,False,False,bba7b18e1e7edf6758b3414beebf721c26b030976849f524e3d4fa7c41430b6e,,
train-000045,eligible,,arithmetic_word_problem,475,257_512,positive,d4_5,False,False,9f865ac394e3926965b24388e59338f8b0f0014d5e1ab492ce40e3a5d5fbe3c9,,
train-000047,exclude,phase1_evaluation_id,arithmetic_word_problem,323,257_512,positive,d2,False,False,a766ddbc3ec17d831478eae528c8304728b96d3bed4e326697dbe8ece5eb3d21,,
train-000048,exclude,phase1_evaluation_id,arithmetic_word_problem,273,257_512,positive,d1,False,False,d64680d76d8cb6c3a7571398108f669d2408e0ad2b13dc5426763b3397632fa2,,
train-000049,eligible,,arithmetic_word_problem,275,257_512,positive,d3,False,False,7c925f096e85acd4c0d76b86a48c1ddb570ba49d553d4649a1a5ab8d5db30b9b,,
train-000050,eligible,,arithmetic_word_problem,46,le128,positive,d3,False,False,5068dc5fcddf6a44a7c18c704bf612628a244a4b274c70c36464723e59a1a8ef,,
train-000051,eligible,,arithmetic_word_problem,202,129_256,positive,d4_5,True,False,59497d991a7ac9afac4721ce48e2288eeda1d10b1fb1854a3d394e12fc5d9ca8,,
train-000052,eligible,,arithmetic_word_problem,1120,gt512,positive,d1,True,True,701f81b3279fb450ed5a131f30732ad37f716a0cb76262217a29a8ba2cd6cb29,,
train-000053,eligible,,arithmetic_word_problem,107,le128,positive,d4_5,False,False,963308000c539d62cdee99b7c742310d375727428b5d89483696b92d0a05ae74,,
train-000054,eligible,,geometry,430,257_512,positive,d1,False,True,7e1f4b30ff018c8b1401099571db3ab3e82b1327aa7678ec30bca14e4a1454eb,,
train-000055,eligible,,arithmetic_word_problem,180,129_256,positive,d2,True,False,55f95a29f1aac1ff581e8dde6be524da368416aabe48a154077412ac3d7c8787,,
train-000056,exclude,phase1_evaluation_id,arithmetic_word_problem,148,129_256,positive,d3,False,False,4e12b80a842c3f37a42f688832ba7fec2b7ee9729d37556de084d7c44abf10bb,,
train-000057,exclude,phase1_evaluation_id,arithmetic_word_problem,92,le128,positive,d2,False,False,1c19840a026bbf482e0092e9221de641311c49aca9375b950eb3d438f408b792,,
train-000058,eligible,,arithmetic_word_problem,179,129_256,positive,d2,False,False,d7a6511a3c698ad476799cb28102d176af652fb310005ece6a8d9442e5a4741e,,
train-000059,eligible,,arithmetic_word_problem,81,le128,positive,d1,True,False,769a491f498109a6ff670c632c2b2497f17b66b707c7192d3f2b71cf51e02a33,,
train-000060,eligible,,arithmetic_word_problem,207,129_256,positive,d2,False,False,9d5858975fd8884434089e4d56d2b333688196a4867fb057d2e4eeea57252628,,
train-000061,eligible,,arithmetic_word_problem,256,129_256,positive,d2,True,False,83c77dacdf5dd1bb9ec379a8d42ff50c09eae73c49bb3ff40626dc4c52445040,,
train-000063,exclude,phase1_evaluation_id,arithmetic_word_problem,152,129_256,positive,d2,True,False,c0d986bae08eb838be1bba0de44c2af5785b29e4fd736735a6032ed04c0f57ad,,
train-000064,exclude,phase1_evaluation_id,algebra,156,129_256,zero,d1,False,False,979e73b50cfad616e820660ae3c3809e7fa017560f55de4793aa4f3b016d4a17,,
train-000065,eligible,,arithmetic_word_problem,487,257_512,positive,d2,True,False,5357d27b179f0b651c7a4017df20c65842aad928204849fc05403a94077b70ee,,
train-000066,exclude,phase1_evaluation_id,algebra,77,le128,negative,d1,False,False,1fe9dac78fa19a380a4af25a9e5d05eddf9c0857d3f29acb91bac888b20aa835,,
train-000067,eligible,,arithmetic_word_problem,160,129_256,positive,d2,False,False,196d4b6a472eb9d8b06177030f92b1d9a2211464d1bef46604a93dcb30dded0a,,
train-000068,eligible,,arithmetic_word_problem,177,129_256,positive,d6_plus,False,True,4661930203fb2ce1e7a1dade141cf197af41bc34e959ca3d1bdc466004d4824d,,
train-000069,exclude,phase1_evaluation_id,geometry,771,gt512,positive,d3,False,True,0df4fdae8dc949056448a0c6949a4482471f66b8ff97cc8e686ec2832e63321a,,
train-000070,eligible,,arithmetic_word_problem,227,129_256,positive,d6_plus,True,True,508da1c1ace2fbe5892a95adcfda377a94e6741e8e67478e6a35ca84fe68be74,,
train-000071,eligible,,arithmetic_word_problem,119,le128,positive,d3,False,False,33fe97054427e53be55298acbb8c82d3ca1976e2da6e6c64f028473303986ad5,,
train-000072,eligible,,algebra,150,129_256,negative,d1,False,False,7d2529c9580e18080ab2672e3da7151765d7adc7f03a59a9ff46376f1f628282,,
train-000073,eligible,,arithmetic_word_problem,162,129_256,positive,d2,False,False,02dcd7f2993f08b596771e088c12797e4e942bbbafb764764082d4618fe70645,,
train-000074,exclude,phase1_evaluation_id,arithmetic_word_problem,179,129_256,positive,d2,True,False,c307525d5a42fdef87a1986b73042fe73a290315c7dca90d9396da63245a88b7,,
train-000075,eligible,,arithmetic_word_problem,327,257_512,positive,d2,False,False,b2186654d5826c29de4d243b2e91271ed4be16e69cc0b916fb30554b8c9d2b1d,,
train-000076,eligible,,combinatorics_probability,194,129_256,positive,d2,False,True,88581d31d09601f39986bbd24f06bd1d98f328dee80e38cdb741d138c96ba883,,
train-000077,exclude,phase1_evaluation_id,algebra,191,129_256,positive,d3,False,False,7851f93806d5d50411fa7efaf95498f362d95bc9d4d355c4fd832153a6750392,,
train-000078,exclude,phase1_evaluation_id,geometry,117,le128,positive,d1,False,True,d862e2373ac72b00aebd11d3922f42bfac564b20708ecf6ad49af298713fa184,,
train-000079,eligible,,arithmetic_word_problem,241,129_256,positive,d3,False,False,633ba5a194f1de9f8f418e42601990ac0e6eb3720ebbd6fe3d0af0e90ff97244,,
train-000080,eligible,,arithmetic_word_problem,89,le128,positive,d1,False,False,24974c343e8d8708974cb8231701b84095083ee7f4e4e3a5153f6f2dae0d73b9,,
train-000081,exclude,phase1_evaluation_id,arithmetic_word_problem,94,le128,positive,d1,False,False,1d3808063d59f375adf70676c26e549630e39c893e2e64887cc6b38b29781fda,,
train-000082,eligible,,arithmetic_word_problem,269,257_512,positive,d3,True,False,29b7e62bad5189632e979a82200580ae85d67e459654f9a523a452b20a12b8ba,,
train-000084,eligible,,number_theory,89,le128,positive,d3,False,True,d7af191bf57e0ebd6a873e6fc0d2c65bdff087a86a357a1b27d799e31d45417e,,
train-000085,exclude,phase1_evaluation_id,arithmetic_word_problem,172,129_256,positive,d2,False,False,e3af5d9d0c9651b7ba561b72e8cafe647c25beedac9e5433407fcb95ed27f846,,
train-000086,eligible,,geometry,202,129_256,positive,d2,False,True,b7a36cae336bf4fe93bfe756d3e711922088ed7228ce8d68a9928e941e980fe4,,
train-000087,eligible,,arithmetic_word_problem,695,gt512,positive,d4_5,False,True,ea19d1c35185226a9f79295d55a366e9353ba3872d0fa7d5a78d15bc937c7e7c,,
train-000089,eligible,,geometry,81,le128,negative,d1,False,True,5652d63d06c2c02e18cc01fc0bbe10989d38983076268d0b3792f56388dc067b,,
train-000090,exclude,phase1_evaluation_id,arithmetic_word_problem,174,129_256,positive,d6_plus,True,True,b7855e34fb703ded939bee4251fce9f1e2c935c2ab64a16bc3e9c2635faf4d25,,
train-000091,eligible,,arithmetic_word_problem,266,257_512,positive,d2,False,False,63b264dfa14048c2cbe39f8f0ee464255ec162303763987dd34f3d0ea94dd4fc,,
train-000092,eligible,,arithmetic_word_problem,404,257_512,positive,d2,True,False,cc3d624ac92bba54cb8f901e26bf0f32d1a8c7fc410f40b5f065f1f84bd85591,,
train-000093,eligible,,arithmetic_word_problem,270,257_512,positive,d1,False,False,4ed7d1f0c4583fa103c3d45839a989b5613619be9821e72e95981eb795c9c285,,
train-000094,eligible,,arithmetic_word_problem,234,129_256,positive,d1,False,False,b79a4c1e20e23b30ff38421013ff82d092baf6a91adf41cf2c0a00d73adf0496,,
train-000095,eligible,,arithmetic_word_problem,296,257_512,positive,d2,True,False,82bec04eb6bfc6ab55b1c2381ac69502f8103059310d1137bbec8d4ceab9ab10,,
train-000096,eligible,,geometry,171,129_256,positive,d1,True,True,f73ae5aa6111c348896f33075f79483023dc1068540b62f8a6f5faf39f128fe0,,
train-000097,eligible,,algebra,274,257_512,positive,d4_5,False,False,a83b7b3ff37846b36a485f8fc8ab1b23b5a81f9c9290729bfcd5db69b28e44b9,,
train-000098,eligible,,arithmetic_word_problem,257,257_512,positive,d1,False,False,db02694f2bf3d46d12efd23f7df89efdd62cf102c89aa3cd5f614f52ad98e587,,
train-000099,exclude,phase1_evaluation_id,arithmetic_word_problem,105,le128,negative,d1,False,False,d4ebc19eb312cae20aadf643d56ae0be44ee094d3536f1b2b6b5761951fd580d,,
train-000100,eligible,,arithmetic_word_problem,326,257_512,positive,d2,True,False,d2d3c2f1e6adbcea6d81dd3d0c5927edc8e5bbb26bb4905d2454b314e5e22474,,
train-000101,eligible,,arithmetic_word_problem,162,129_256,zero,d1,False,False,8c613dfe341e29b483a18a70b16a16d23a7c3a59dcad07b7e81e88aa1daff182,,
train-000102,eligible,,arithmetic_word_problem,259,257_512,positive,d3,False,False,7748a040d38cfca6c1e2673de5bd5044dbbac4c3beb37dac7274a99e7692b4b0,,
train-000104,exclude,phase1_evaluation_id,arithmetic_word_problem,226,129_256,positive,d4_5,False,False,51fd5a032c2f14a909b749538b6a96c2e454d2fbc3625c89f1d3d35381f5226f,,
train-000105,eligible,,algebra,170,129_256,positive,d3,False,False,5670cfd11a2990a03d0f382de22ba01e9cab24bbcf03422aef24c9a2d1d04c33,,
train-000106,eligible,,arithmetic_word_problem,231,129_256,positive,d1,True,False,2bee5ab86affadcb34aa755e517ed931ac76e6ec2f862d632b86bfbbee8a5cd0,,
train-000107,eligible,,arithmetic_word_problem,152,129_256,positive,d2,True,False,aa6a8c1aed81e6f17462556c7d83589778477ef65251d1adfad8cb9fbe769231,,
train-000108,phase2_effort_comparison,phase2_effort_comparison_excluded_from_sft,arithmetic_word_problem,193,129_256,negative,d4_5,False,False,d6c50684c443d3f8ff19727d29fa01277d3b187bb395547e2a7f99fb8efc5b96,,
train-000109,eligible,,arithmetic_word_problem,278,257_512,positive,d4_5,False,False,d35745b8da038421a093933fdf1198c3f41c02e4f20185bbef5d907247bc3cd0,,
train-000110,eligible,,arithmetic_word_problem,90,le128,positive,d4_5,False,False,0923c01b3df100b408d1389e34d86efa5efcc89c07ef8b4c4562a3ac2c298d4e,,
train-000111,eligible,,arithmetic_word_problem,167,129_256,positive,d2,False,False,30c6b11a29d30e7c878bff679154dccc6c0cc2867346c86ca87085fe41b6074e,,
train-000112,eligible,,arithmetic_word_problem,81,le128,positive,d1,False,False,5a2f340f876685b42d1c2b8064721d52ed8a825bc9d747458858ed8d7a241d24,,
train-000113,exclude,phase1_evaluation_id,algebra,580,gt512,positive,d1,False,False,302c5995bdea9177f8ea4914b7ce75863de683ad2fbafe90a016207f83ecbbdb,,
train-000114,eligible,,arithmetic_word_problem,369,257_512,positive,d3,True,False,2ffaf5a456a8f9beed956f27531a61c990a6e98df80f7448967397248c7a4cde,,
train-000115,eligible,,arithmetic_word_problem,110,le128,positive,d2,False,False,93361ee24a2e2d65155cc2ab06bc44334f5d41c23fe2e151ee504eff13f4ba35,,
train-000116,eligible,,algebra,159,129_256,positive,d1,True,False,925da0f9fef4af3dabb1da5079c0bc10b85cb1c2ab860279101b66298c28cd4d,,
train-000117,eligible,,arithmetic_word_problem,254,129_256,positive,d2,False,False,55eb87616effc233b3df2b029188a2bb98d8dca369233e53327c3d16ec92da91,,
train-000118,eligible,,arithmetic_word_problem,207,129_256,positive,d1,False,False,54b27f8d6824aa65390c0be10c96f84171cc92676eb9f3e56c407c62882ed77b,,
train-000119,eligible,,number_theory,197,129_256,positive,d1,False,True,78d89b65c8481b33f136bfba90dcde69da4c738af3b60a5ff3ad72d5149fd748,,
train-000120,eligible,,arithmetic_word_problem,183,129_256,positive,d1,False,False,5edaf88226c72723c741b61de23520afb0646e1edce400ac5bb8c6a56e0fb2ed,,
train-000121,eligible,,arithmetic_word_problem,230,129_256,positive,d1,True,False,4194f50486a6daf95060b31baa71626522f1300191fcd0d6a9e1f02d6d9cd14a,,
train-000122,eligible,,arithmetic_word_problem,67,le128,positive,d2,False,False,2564302b2e9088cc7eff2842f69d40e93fe53bf163d718f024b7fbb7c47abf6d,,
train-000123,eligible,,geometry,137,129_256,positive,d4_5,False,True,f3a237f277d8004ae64d670ff6bfeb69b8c5a2a005ce987b450e63519cb2a16e,,
train-000124,eligible,,arithmetic_word_problem,47,le128,negative,d1,False,False,c3139ddff49f70495a0f37fe977c114c13ec818c6f5a38892cc0292bf655d3e0,,
train-000125,eligible,,combinatorics_probability,270,257_512,positive,d4_5,False,True,ba268823957071423600e074a2cf2117977b99b500a9fb0d573669568d181d51,,
train-000126,eligible,,geometry,184,129_256,positive,d1,False,True,aa6ef3bf270a3883d40e928f89a69c0dc1b1089952e343f789f3ddf8bcbf00ac,,
train-000127,eligible,,arithmetic_word_problem,144,129_256,positive,d6_plus,False,True,24560c82123d3536cadd60fab48aac905000b644d397f32cd4ea3bccd6b76e41,,
train-000128,eligible,,arithmetic_word_problem,212,129_256,positive,d3,True,False,0d7854be74dac6a73cf4da0d388fa19e3222e48d29fbba6abd317edc929a7dd0,,
train-000129,eligible,,arithmetic_word_problem,150,129_256,negative,d2,False,False,ef3438dd31672d76f7a8d23a20245bd01411f10527e85a212363a1702be8fd0c,,
train-000131,eligible,,arithmetic_word_problem,185,129_256,positive,d2,True,False,3482c4d8c19a6c4cb324f0607a31d079f677de10b38801ebad5520ca0c484823,,
train-000132,eligible,,arithmetic_word_problem,127,le128,positive,d2,False,False,b87585f4e02624683925e05c060c42ffbc00e14b4fc89e6c2a8cc94a19f961ba,,
train-000133,eligible,,arithmetic_word_problem,333,257_512,positive,d1,True,False,a1e429bf36742eb98187f8c6721d646662ace5bb320e1871b4f9667e2671786e,,
train-000134,eligible,,geometry,296,257_512,positive,d4_5,False,True,8c5d42fd9f54dad59dddc605a81a3e77a244acb8f128f9d1dcede850ce656c55,,
train-000135,eligible,,arithmetic_word_problem,91,le128,positive,d2,False,False,190d416db81307930cc22b2d15c3a672b08a2f7eaca4653ad0ed65ff749c13e0,,
train-000136,eligible,,arithmetic_word_problem,188,129_256,positive,d2,False,False,f3ef4865fce19d84df622ea203b040102a0e9e4933faf74941b9f90eb889d8ab,,
train-000137,exclude,phase1_evaluation_id,arithmetic_word_problem,284,257_512,positive,d4_5,True,False,93d2aff4e85595dd19559bf7b65c55a12475e86f900768a8cc0cc7b6e576bdfb,,
train-000138,eligible,,arithmetic_word_problem,264,257_512,positive,d3,True,False,bbc56a087ebc5edc1e340a8b3e0e4a2f34db92442369216e7e8e24d7cb99177a,,
train-000139,eligible,,arithmetic_word_problem,353,257_512,positive,d3,True,False,4510ffed57756fb57e06a3eaae9ef0c79fe6ee6cdfa77ceab57bec2f34d62eca,,
train-000140,eligible,,arithmetic_word_problem,367,257_512,positive,d4_5,True,False,c3591ce81d46395af478edc24342de76ebdb7255296bbfd4ab60b126ab3d956f,,
train-000141,eligible,,arithmetic_word_problem,332,257_512,positive,d1,False,False,403cc7f3f1bbd4c7f83b8e28e7b0db9006f140d80218121e0936c71b9f355e42,,
train-000142,eligible,,arithmetic_word_problem,178,129_256,positive,d3,True,False,76e93f0b9ccf30b9776cdfc18a122d45891b1d5133b8df29d05a0130e3771f91,,
train-000143,exclude,phase1_evaluation_id,arithmetic_word_problem,233,129_256,positive,d4_5,True,False,236d5e8e12e94007a9c52a9399024c7d32f79cde511e411b04c2b80127f36bd5,,
train-000144,exclude,phase1_evaluation_id,combinatorics_probability,417,257_512,positive,d2,False,True,4dd0cf7c1082ea2843311d1bfc58abd99a95cb25d49bfb67a2003e532568ed9a,,
train-000145,eligible,,arithmetic_word_problem,102,le128,positive,d1,False,False,c1d2e6152f2de49c1c55ba9fb70bff60e383bff589ca7d3f97fcfbdae95976dd,,
train-000146,eligible,,geometry,101,le128,positive,d1,False,True,0b197c2a5c47fcffca67c6ba5538a7e417d6238992ab494aec4388fecdea0418,,
train-000147,eligible,,arithmetic_word_problem,215,129_256,positive,d1,False,False,3a8db4faa7f51a1294ad14a7d916b8e2780b9b7041a127503e799bdfc2144b66,,
train-000148,eligible,,arithmetic_word_problem,399,257_512,positive,d4_5,True,False,e5660a47a89d98cd285e1976a479e18f2152181bc06b7ccdc04ea13b8d10e2e8,,
train-000149,exclude,phase1_evaluation_id,arithmetic_word_problem,478,257_512,positive,d2,True,False,a06e7c41c199ffb4f5aaa85513659ce72a4ecd089c34dfe09d0b7a6e504bd4eb,,
train-000150,exclude,internal_template_duplicate,number_theory,112,le128,positive,d1,False,True,134b009d0c06d503c1bbdf07e5753736230146aab0d956d4bf6e5f9c34c274b8,,
train-000151,exclude,phase1_evaluation_id,arithmetic_word_problem,244,129_256,positive,d3,False,False,88bbf78fdf4319b0c7f2225e0fe0cfc2ac932cfc6612fef4e92243c5696b8d12,,
train-000152,eligible,,arithmetic_word_problem,105,le128,positive,d3,True,False,9d6a92df83e6edc8e7089d5058a3676972c4d7058f66df197f95b9114a0770eb,,
train-000153,exclude,phase1_evaluation_id,arithmetic_word_problem,312,257_512,positive,d2,True,False,32a8e264ba4658367fd9140a14a89e41c0ce57bbc36a64474431f76f03dbefba,,
train-000154,eligible,,geometry,394,257_512,positive,d2,True,True,77657f19da3a7d4f414e1bee3bfdcbfa45c638cd9625003ee68f451a2956904f,,
train-000155,exclude,phase1_evaluation_id,number_theory,229,129_256,positive,d1,False,True,3c26c2983710b6deb4d0727aaa81786c076e48d06e7951bef796487a829309ad,,
train-000156,eligible,,arithmetic_word_problem,263,257_512,positive,d2,True,False,d03a4a07e2ccfbcaad435177f059d3cff931f4a665e945d0c516eaf6aa9facd0,,
train-000157,eligible,,arithmetic_word_problem,237,129_256,positive,d3,False,False,b5bfa02b55888057971332f064c60d13a678a1448abf372102f5d74874b52a22,,
train-000158,exclude,phase1_evaluation_id,arithmetic_word_problem,207,129_256,positive,d2,True,False,278135e7858e9695072adba0940c6e8dab6c66166c310787e8710eec27c65f66,,
train-000159,eligible,,arithmetic_word_problem,264,257_512,positive,d2,True,False,c5079d4a43c170b46c21cf14e10ef16f7013de61ffd465aa624e6c27ca5399c9,,
train-000160,exclude,phase1_evaluation_id,arithmetic_word_problem,85,le128,positive,d1,False,False,8195f497c0ee42359a555b10bfc47fd8424d8f565718474e9a80683ee0446cc8,,
train-000161,eligible,,arithmetic_word_problem,256,129_256,positive,d2,False,False,55f27fe70dad85f34499934c3874840b5961df8c7a80145dded4779490c26a74,,
train-000162,eligible,,arithmetic_word_problem,230,129_256,positive,d1,False,False,fb614b00bdf69f8e8fbc89b160eb1a7f5223a9c8be9a916fbcca73a191cec71d,,
train-000163,exclude,phase1_evaluation_id,combinatorics_probability,638,gt512,positive,d3,False,True,7c472dc0093da71259c944a185efc2190a5a443a48c2bb315b3bffefd28d398a,,
train-000164,exclude,phase1_evaluation_id,geometry,479,257_512,positive,d3,False,True,bb469a320e31c80a5b2de36fc1aa9a6078080dfa220536e1a679063ba5dd452a,,
train-000165,eligible,,arithmetic_word_problem,140,129_256,positive,d1,True,False,24d8ecbc171dc9e163c07954f33c45e80e653d91e1605b5ace4edeabde30d75e,,
train-000166,eligible,,arithmetic_word_problem,172,129_256,positive,d2,True,False,6cf6bbcb4a0f8c4252b0b5da16101c9c4dd0b6456d4f66ebf12c79598ab8b618,,
train-000167,eligible,,arithmetic_word_problem,136,129_256,positive,d4_5,False,False,3dea6997ed3f3c1f255ec25d0900eae0e33a921d5a8e33982e544fdd2522d861,,
train-000168,eligible,,number_theory,80,le128,positive,d2,False,True,842db3c921a5149bbd51ca43d85f6c59db7245307ee897503c5e39b4e731c5f1,,
train-000169,eligible,,arithmetic_word_problem,210,129_256,positive,d2,False,False,90270f2de9cfc484e8fe7b3fc6975630edbfa2e999e5ba9a5d0adec8d914e2ab,,
train-000170,eligible,,geometry,149,129_256,positive,d4_5,False,True,2d66b831ce3ad2675a55724aa5d4b8faba4f49c257c4fa102ea86fe5f9e20770,,
train-000171,eligible,,arithmetic_word_problem,279,257_512,positive,d4_5,True,False,564fdf0ed49b682d699c247e0eb7f4e2fac42eb086e416f0506e7957f269c56d,,
train-000172,exclude,phase1_evaluation_id,arithmetic_word_problem,146,129_256,positive,d3,True,False,9cacb43b53a057dd0efefe122c362c4435e555d7bfb1836e1ba5538c5724f5fb,,
train-000173,exclude,phase1_evaluation_id,number_theory,144,129_256,positive,d6_plus,False,True,4af638504ba7c89b5281d5c43d09557b604ea5e1c0f54b8ce93885094d74d058,,
